sms (bangerz), miley cyrus, bangerz... fuckin' bangerz~bangerz... fuck-fuck-fuckin' bangerz!~~all the way in the back with a tree on my lap~all the boys like to ask me what you doing with that?~you say you love me i ain't fooling with that~they ask me how i keep a man i keep a battery pack~one day he wants me~one day he wants me not~i don't do chances 'cause time just ain't what i got~if he's like that i got a world tour that they need me at~i can't be sitting 'round here waiting for a man to tell me where the fuck my seat be at~where mike will at?~~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (i be struttin' my stuff)~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (fuckin' bangerz)~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (i be struttin' my stuff)~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (fuckin' bangerz)~~i'm flying high up on the bird; acrophobiac~i slick caught her eyeing down my purse~where the dollars at?~i let her know the rent's due on the first~they can call the hearse~'cause if there's any violation i go off with that~catwalk slick talk flirting with a big dog~(why i need his millis when i got billy on my speed dial?)~you know i'm on that meow quick to scratch your eyes out~strutting on the court make them nervous call a timeout~~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (i be struttin' my stuff)~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (fuckin' bangerz)~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (i be struttin' my stuff)~we be struttin' that stuff that stuff that stuff (bangerz)~we be struttin' that stuff that stuff that stuff (fuckin' bangerz)~~the plane boss the plane~‘bout to get that big rock~sit that on my hand~make that media big talk~the plane boss the plane~psych that must be the purple~got up in my brain~had me a little bit dismal~~i i i~bangerz~i i i~fucking bangerz~i i i~bangerz~i i i~fucking bangerz~i i i~i i i~i i i~i i i
inspired, miley cyrus, i'm writing down my dreams all i'd like to see~starting with the bees or else they're gonna die~there will be no trees or air for us to breathe~i start feeling mad but then i feel inspired~thinkin' about the days~coming home with dirty feet from playing with my dad~all day in the creek~he somehow has a way of knowing what to say~so when i'm feeling sad he makes me feel inspired~~we are meant for more~you're the handle on the door that opens up to change~i know it sounds so strange~to think we are meant for more~you're the handle on the door that opens up the change~i know that sounds so strange~because you always felt so small but know you aren't at all~and i hope you feel inspired~oh i hope you feel inspired~~how can we escape all the fear and all the hate?~is anyone watching us down here?~death is life it's not a curse~reminds us of time and what it's worth~to make the most out of it while we're here~~we are meant for more~you're the handle on the door that opens up to change~i know it sounds so strange~we are meant for more~there's a lock upon the door but we hold the key to change~~but how can we escape all the fear and all the hate?~is anyone watching us down here?
drive, miley cyrus, drive my heart into the night~you could drop the keys off in the morning (in the morning)~'cause i don't wanna leave home without your love~without it~~you told me that you wanted this~i told you it was all yours~if you're done with it then what'd you say forever for?~if forever's out the door~i'll ignore when you call~~drive my heart into the night (yeah)~you could drop the keys off in the morning (in the morning)~'cause i don't wanna leave home without your love~without it~~you told me you were coming back right back~you promised it was real and i believed that~but if i fall for it again i will be a fool~if our love is at the end then why do i still want you? yeah~but i guess i got no valentine~send me roses i'll just let 'em die~i was crazy thinking you were mine~it was all just a lie~~drive my heart into the night~you could drop the keys off in the morning~'cause i don't wanna leave home (leave home) without your love~without it~~i always knew i never wanted this~i never thought it could happen (never thought it could happen)~you acted like you wanted this~but then you led me on (led me on)~i thought you would be there when i go (when i go)~you promised you would be there when i go (i go)~but all broken promises i won't miss i'm finished~all i know are the facts~that when i look you in the eyes all i see are the lies~been there done that~~drive my heart into the night (yeah yeah)~you could drop the keys off in the morning~'cause i don't wanna leave home without your love~without it
bb talk, miley cyrus, alright so this is really fucked up but~alright i was sleeping next to him but i was dreaming about the other dude~and then all of a sudden everything that he fucking did just made me cringe and it was so hard to fall in but so easy just to fall back right out again~this whole time i could give to you and i could paint you pictures but i guess i could just never write a song and then maybe i'd never fell out of love with him in the first place~i mean i i don't wanna feel this feeling cause my energy's just so strong that i don't know if i'm creating this or this is actually what is meant to be~and you know that they say that you gotta think what you want into existence but you know i haven't been too good at making decisions so i have no idea what the fuck i want i guess~~you're giving me a feeling in my head~laying in my bed just thinking~not really feeling like the one i want~takes everything in me not to call him~i really really really want it too~i told all my friends i'm moving on~your baby talk is creeping me out~fuck me so you stop baby talking~~you know what in the beginning it was like we were fucking homies and shit and then all of a sudden you started with some fucking baby goo-goo tongue down my fucking throat~i mean even in front of your mom~dude as if i'm not fucking awkward enough~i mean you put me in these fucking situations where i look like a dumbass bitch and i'm not a fucking dumbass bitch~you know like i hate all that fucking pda i probably hate it more than your fucking friends do~you know it's sweet and you couldn't be more opposite of my last dickhead but you know i just i don't know if i can get over the fucking goo~~you keep saying again and again~we're laying in my bed just talking~and now i now i can't hold it back~i'm feeling like i'm gonna vomit~i don't really wanna let go of you~i heard i change my mind way too often~your baby talk is creeping me out~fuck me so you stop baby talking~~alright so i'm gonna be honest~it's the super cutey shit that's the main issue here~i mean i'm fucking what?~look i like when you send me you know the the queen emoji but when i send back the monkey you know the ones with the the hands over the eyes? that means that shit's just getting a little too weird for me~i mean i don't wanna say it in person i just bury my head in your armpit which... weirdly smells good and your hair and your fucking teeth~like why the fuck would i wanna lick your teeth but i do~and remember there was that one time that i had like a 15 minute...~well that was kind of the best thing in the entire world~you know maybe i could just get past this shit and i could get used to someone giving a fuck~i'm sorry i called you a creep and that thing about the vomit~i mean look i'm really starting to be in this whole thing but no matter what you do homegirl can't handle the fucking goo~~fuck me so you'll stop baby talking~fuck me so you'll stop baby talking~fuck me so you'll stop baby talking~love me so you stop baby talking~i don't really wanna let go of you~i heard i change my mind way too often~your baby talk is creeping me out~fuck me so you'll stop baby talking
someone else, miley cyrus, if you're looking for love know that love don't live here anymore~he left with my heart~they both walked through that door without me~if you're trying to find pity well you need to look somewhere else~'cause i surely can't help you~i'm hurting myself~i've turned into someone else~~i used to believe love conquers all~'cause that's what's seen in movies~come to find out it's not like that at all~you see real life's much different~~i don't wanna see you go~i only wanna see you smile~it hurts so much just thinking of~felt like this for awhile~i can't stand to see us there~we cried we lied~cannot pretend to take us back to what we had~to make us feel alive again~~hold me close~don't let me go~i hope~tell me now is not the end~~if you're looking for love know that love don't live here anymore~he left with my heart~they both walked through that door without me~if you're trying to find pity well you need to look somewhere else~'cause i surely can't help you~i'm hurting myself~i've turned into someone else (someone else)~i've turned into someone else~~i used to believe love conquers all~'cause that's what i felt when you held me~i thought you'd catch me if i fall~and fill me up when i'm empty~~i don't wanna see you go~i only wanna see you smile~it hurts so much just thinking of~felt like this for awhile~i can't stand to see us there~we cried we lied~cannot pretend to take us back to what we had~to make us feel alive again~~hold me close~don't let me go~i hope~tell me now is not the end~~if you're looking for love know that love don't live here anymore~he left with my heart~they both walked through that door without me~if you're trying to find pity well you need to look somewhere else~'cause i surely can't help you~i'm hurting myself~i've turned into someone else~~love is patient love is selfless~love is hopeful love is kind~love is jealous love is selfish~love is hopeless love is blind~love is patient love is selfless~love is hopeful love is kind~love is jealous love is selfish~love is hopeless love is blind~love is patient love is selfless~love is hopeful love is kind~love is jealous love is selfish~love is hopeless love is blind~yeah yeah~ooh yeah~~i've turned into someone else
#getitright, miley cyrus, i feel a surge coming over me~i feel it all around my thighs~and chills going up my legs~this is the worst coming out of me~when i came felt like i could die~and it sends chills up my spine~~you're sexy sexy~i got things i wanna do to you~make me make me~make my tongue just go do-do-do~flex it flex it~flex your muscles and go through the roof~arrest it -rest it 'cause you're a criminal~~i been laying in this bed all night long~don't you think it's time to get it on?~but we gotta get it right we can't get it wrong~don't you wanna fuel this fire before it's gone? yeah yeah~~i feel the thirst pouring out of me~the things that i wanna try~that echoes in my head~this is the first time i get to see~things i've never seen in my life yeah~you make flowers grow under my bed yeah~~you're sexy sexy~i got things i wanna do to you~make me make me~make my tongue just go do-do-do~flex it flex it~flex your muscles and go through the roof~arrest it -rest it 'cause you're a criminal~~i been laying in this bed (this bed) all night long (all night long)~don't you think it's time? (it's time to get it on yeah)~but we gotta get it right (get it right)~we can't get it wrong (can't get it wrong)~don't you wanna fuel this fire before it's gone? yeah yeah~~do you feel me?~oh! i thought so~i just uh... sometime you just wanna... be naughty!~~feel so alone when you are gone~feeling right back home when i'm in your arms~you played my strings like my guitar~when i look in your eyes i see all the stars~~would you believe~i'm dancing in the mirror? (dancing in the mirror)~i feel like i got no panties on~i wish that i could feel ya (wish that i could feel ya)~so hurry hang up that damn phone~~i been laying in this bed (this bed) all night long (all night long)~don't you think it's time? (it's time to get it on)~but we gotta get it right we can't get it wrong~don't you wanna fuel this fire before it's gone? yeah yeah~~going on and on and make it last forever~what you want all day?~just as long as it's you and i together~babe don't make me wait yeah~ooh oh~don't make me wait~yeah yeah yeah uh~baby
maybe you're right, miley cyrus, chapter one; we started happy~the second that you said you loved me~started questioning us~are we really in love?~tryna figure out chapter three~but you're not giving me anything~if this is what we are then i gotta move on~you think this is everything but this is no book of love~~you might think i'm crazy~that i'm lost and foolish leaving you behind~maybe you're right~you might think i'm crazy~that i'm lost and foolish leaving you behind~maybe you're right~maybe you're right~~here comes the part of you and me~arguing about nothing~you tell me it's as good as it gets~yeah i'm real emotional~blame it on your mental jokes~how much did you think that i could take?~so much for taking this too far~you can't blame me for who i am~it's too late for us to try to be in love right now~~you might think i'm crazy~that i'm lost and foolish leaving you behind~maybe you're right~you might think i'm crazy~that i'm lost and foolish leaving you behind~maybe you're right~maybe you're right~~fill the pages now this chapter's done~moving on up and forward onto all that will become~if you ever get to the place where the sun is shining every day~then i'll be on your mind~~you might think i'm crazy (crazy yeah)~that i'm lost and foolish leaving you behind~maybe you're right~you might think i'm crazy~that i'm lost and foolish leaving you behind~maybe you're right~maybe you're right
4x4, miley cyrus, 'round and 'round and away we go~'round and 'round and away we go~four by four and away we go~high not low and away we go~'round and 'round and away we go~and away we go and away we go~four by four and away we go~high not low and away we go~~i'm a female rebel can't you tell?~bang on the dashboard just chipped a nail~lean out the window that's when i yell~driving so fast 'bout to piss on myself~driving so fast 'bout to piss on myself~police wanna get him and put him in jail~i'mma do whatever to get him his bail~hooked on donuts and rooster-tails~~i'm in that passenger seat riding high in the air~and we're driving fast 'til we plumb out of gas let's go~~'round and 'round and away we go~'round and 'round and away we go~four by four and away we go~high not low and away we go~'round and 'round and away we go~and away we go and away we go~four by four and away we go~high not low and away we go~~i'm a female rebel can't you see?~riding 'round your backyard who could it be?~pulling out the steering wheel right from the seat~pumping his breaks to the sound of the beat~pumping his breaks to the sound of the beat~he don't understand what he's doing to me~deep down inside like a pitbull in heat~someone's coming so we head for the streets~~i'm in that passenger seat riding high in the air~and we're driving fast 'til we plumb out of gas let's go~~'round and 'round and away we go~'round and 'round and away we go~four by four and away we go~high not low and away we go~'round and 'round and away we go~and away we go and away we go~four by four and away we go~high not low and away we go~~it's twelve o'clock and i don't wanna party~my big boyfriend and my big truck hobby~a little bit of dirt never hurt nobody~now i got dirt all over my body~might as well lie to l~his big fog lights is bright as hell~calls it off he starts to yell~he hits the gas so i grab the rail~~sure you wanna ride with me?~if you scared don't lie to me~i'm a crazy motherfucker from the midwest~with a mississippi flow and an arch rest~four by four with the altar steps~we doing donuts underneath the arch yes!~i need a chick on time don't mind being early~a ride-or-die dollar six thirty~a straight-up chick like twelve o'clock~i don't know where he at that's what she tell the cops~take a stand for a nigga raise a hand for a nigga~i solemnly swear he was with me all day~to the judge he the one i love~hell they could tell she don't even budge~'round and 'round we go~don't stop 'til i tell you so~~i'm in that passenger seat flying high in the air~and we're driving fast 'til we plumb out of gas let's go~~'round and 'round and away we go~'round and 'round and away we go~four by four and away we go~high not low and away we go~'round and 'round and away we go~and away we go and away we go~four by four and away we go~high not low and away we go~~i'm a female rebel who can't you tell who can't you tell~who can't you tell?~i'm a female rebel who can't you tell who can't you tell~who can't you tell?
my darlin', miley cyrus, stand by me~oh my darlin'~stand by me~~i walked through a puddle of water~when i seen the shadow of a broken-hearted girl~pictured us walking to the altar~for better or for worse~~why don't you stand stand by me?~oh my darlin' stand by me~'cause we gon' make a movie a movie~and it's gon' be in 3d in 3d~and we gon' make a movie a movie~and it's gon' be in 3d in 3d~~why don't you stand stand by me?~oh my darlin' stand by me~~i ain't pop no molly~but you still got me sweating~what happened to that feeling?~we'll never get it back~i ain’t take no shots but you still got me hot~what happened to the feeling?~i wish it wouldn't stop~we were supposed to be together~we were supposed to be together yeah~~they say that love can hit you so fast~plenty odds are running out of time~but ours are on the boardwalk baby~take me as i am or not~i can't breathe without you without you as mine~~why don't you stand stand by me?~oh my darlin' stand by me~'cause we gon' make a movie a movie~and it's gon' be in 3d in 3d~and we gon' make a movie a movie~and it's gon' be in 3d in 3d yeah~~stand by me (yeah)~my darlin' stand by me~stand yeah~3d yeah~movie it's gon' be in 3d 3d yeah~~why don't you stand stand by me?~oh my darlin' stand by me~'cause we gon' make a movie a movie~and it's gon' be in 3d in 3d~and we gon' make a movie a movie~and it's gon' be in 3d in 3d yeah~~stand by me (yeah)~my darlin' stand by me~stand yeah
karen don't be sad, miley cyrus, oh karen~you take it all too hard~you been talking to those fools again~and they'll tear your world apart mmm~oh karen~you gotta try to understand~gotta hold on to your soul~'cause they'll crush it if they can~~so karen don't be sad~they're just a bunch of fools~and you can make them powerless~don't let them make the rules~so karen don't be sad~you know the truth is true~the world can still be beautiful~that part's up to you~so karen don't be sad~~oh karen~you know you're only letting 'em win~by letting all their lies and hate destroy you from within-in~oh karen~they've taken away your smile~but you can give it back to us~just fake it for a while~~so karen don't be sad~they're just a bunch of fools~and you can make them powerless~don't let them make the rules~so karen don't be sad~you know the truth is true~the world can still be beautiful~that part's up to you~so karen don't be sad~~so karen don't be sad~don't let 'em win~oh don't let 'em win~don't let them win~don't let them win~oh don't let them win~oh don't let them win~don't let them win
