song,artist,lyrics
pawn it all, alicia keys, yeah ah yeah ah yeah ah yeah ah  i would pawn you my watch i would pawn you my chain i would pawn you this golden diamond ring 'cause i need it so bad i would give you everything just so i could start my life over again  sometimes you gotta let it go just to make it possible sometimes you gotta do it be willing to lose it freedom has no price you know thinking how we gonna make it now how we gonna feed the babies now we gon' make it through it god gon' see to it just get up and do it now  i would pawn you my watch i would pawn you my chain i would pawn you this golden diamond ring 'cause i need it so bad i would give you everything just so i could start my life over again  get on up (hey) get on up (hey) get on up (hey) get on up (hey) get on up  see i learned the hard way now i'm doing it in my way 'cause life is too short to fall in new york can't get up and get away so i gotta let it all go start back from zero 'cause i give it up i don't give a fuck 'cause love is my hero  (x2) i would pawn you my watch i would pawn you my chain i would pawn you this golden diamond ring 'cause i need it so bad i would give you everything just so i could start my life over again  get on up (hey) get on up (hey) get on up (hey) get on up (hey) get on up
tears always win, alicia keys, check it out it feels kinda crazy  these covers may keep me warm at night but they can't take your place 'cause they'll never gonna hold me tight and these pillows may let me rest my head but they can't say goodnight and tuck me in before i go to bed  saying nah baby girl you're better off that's what i'm telling myself (over and over) but i'm lying to myself 'cause i know i don't want nobody else  these lips are missing you 'cause these lips ain't kissing you these eyes put up a fight but once again these tears always win these arms are wanting you 'cause these arms ain't holding you these eyes put up a fight but once again these tears always win  these candles light up my room at night but they can't lit the room the way you did when you walked inside nah baby if these walls could sing about everything they witnessed it'd be a sad sad song and it'd probably sound something like this  saying nah baby girl you're better off that's what i'm telling myself (over and over) but i'm lying to myself 'cause i know i don't want nobody else  these lips are missing you (missing you) 'cause these lips ain't kissing you (kissing you) these eyes put up a fight but once again these tears always win these arms are wanting you (wanting you) 'cause these arms ain't holding you (holding you) these eyes put up a fight but once again these tears always win  tell me when the hell this loneliness is gonna be over? (gonna be over) when everything in this room reminds me of you every time i think i'm getting closer these tears me dry out and once again i lose  these lips are missing you (missing you) cause these lips ain't kissing you (kissing you) i put up a fight but once again these tears always win these arms are wanting you (wanting you) cause these arms ain't holding you (holding you) these eyes put up a fight but once again these tears always win  these eyes put up a fight but once again these tears always win these eyes put up a fight but once again these tears always win these eyes put up a fight but once again these tears always win
where do we begin now, alicia keys, what they gon do 'cause we the same sex? and we spendin' all this time this could be the love we ain't made yet even though it's on my mind we ain't even had the conversation but do you wanna testify?  how many know this love song? how many times it goes wrong? goes wrong  ohh where do we begin now? ohh where do we begin now? what we tell our friends now?  i had a dream about you last night then it kinda blow my mind all i really know is that it feels right and i gotta live my life we ain't even had the conversation let me be the first to testify ohhh  how many know this love song? how many times it goes wrong? goes wrong  ohh where do we begin now? ohh where do we begin now? what we tell our friends now?  i gotta let you know gotta let you know i gotta let you know i gotta let you know gotta let you know i gotta let you know
if i ain't got you (spanish version), alicia keys, some people live for the fortune some people live just for the fame some people live for the power yeah some people live just to play the game some people think that the physical things define what's within and i've been there before that life's a bore so full of the superficial  some people want it all but i don't want nothing at all if it ain't you baby if i ain't got you baby some people want diamond rings some just want everything but everything means nothing if i ain't got you yeah   hand me the world on a silver platter and what good would it be with no one to share with no one who truly cares for me  soy solo para ti y nada me hace feliz si no estas tu baby si faltas tu baby no quiero mas variedad si ya no se de nadie mas el mundo es un vacio si me faltas tu tu tu soy solo para ti y nada me hace feliz si no estas tu baby si faltas tu baby no quiero mas variedad si ya no se de nadie mas y el mundo es un vacio si me faltas tu yeah  if i ain't got you with me baby oh ooh said nothing in this whole wide world don't mean a thing if i ain't got you with me baby
p.o.w, alicia keys, i'm a prisoner of words unsaid just lonely feelings locked away in my head i trap myself further every time i stay quiet i should start to speak but i stop and stay silent and now i've made my own hard bed inside this prison of words unsaid p.o.w. that's what i am not a prisoner of war a prisoner of words mostly i say what you wanna hear could you take it if i came clear? or would you rather just see me stoned on a drug of complacency and compromise m.i.a. i guess that's what i am scraping this cold hard earth for a piece of myself for peace in myself it'd be easier if you just put me in jail you know if you locked me away i'd have someone to blame but these bars of steel are of my making they surround my mind and have me shaking my hands are cuffed behind my back i'm a prisoner of the worst kind in fact a prisoner of compromise a prisoner of compassion a prisoner of kindness a prisoner of expectation a prisoner of my youth run too fast to be old i've forgotten what i was told ain't i a sight to behold? a prisoner of age dying to be young to my head is my hand with a gun and it's cold and it's hard cause there's nowhere to run when you've caged yourself by holding your tongue i'm a prisoner of words unsaid just lonely feelings locked away in my head it's like solitary confinement every time i stay quiet i should start to speak but i stop and stay silent and now i've made my own hard bed inside a prison of words unsaid
teenage love affair, alicia keys, uh can't wait to get home baby dial your number can you pick up the phone? 'cause i wanna holla daydreaming about you all day in school can't concentrate wanna have your voice in my ear 'til mama comes and says it's too late  'cause the lights are on outside wish there was somewhere to hide 'cause i just don't want to say goodbye 'cause you are my baby baby  nothing really matters i don't really care what nobody tell me i'm gonna be here it's a matter of extreme importance my first teenage love affair  another secret meeting on the fifth floor stair case i'm gonna give you this letter of all the things i can't say want you to be my first my last my ending and beginning yeah i wrote your name in my book your last name my first i'm your mrs  'cause the lights are on outside wish there was somewhere to hide 'cause i just don't want to say goodbye 'cause you are my baby baby  nothing really matters i don't really care what nobody tell me i'm gonna be here it's a matter of extreme importance my first teenage love affair  hey boy you know i really like being with you right? just hanging out with you is fun  so maybe we can go to first base because i feel you second base want you to feel me too third base better pump the breaks well baby slow down i gotta go home now  'cause the lights are on outside (outside) wish there was somewhere to hide (to hide) 'cause i just don't want to say goodbye 'cause you are my baby baby  nothing really matters i don't really care what nobody tell me i'm gonna be here it's a matter of extreme importance my first teenage love affair my baby baby nothing really matters i don't really care what nobody tell me i'm gonna be here it's a matter of extreme importance my first teenage love affair
that would be enough, alicia keys, look around look around at how lucky we are to be alive right now look around look around… look around look around at how lucky we are to be alive right now look around look around…  look at where you are look at where you started the fact that you’re alive is a miracle just stay alive that would be enough and if this child shares a fraction of your smile or a fragment of your mind look out world! that would be enough  i don’t pretend to know the challenges you’re facing the world's you keep erasing and creating in your mind but i’m not afraid i know who i married so long as you come home at the end of the day that would be enough  we don’t need a legacy we don’t need money if i could grant you peace of mind if you could let me inside of your heart…  oh let me be a part of the narrative the story you will write someday let this moment be the first chapter where you decide to stay  and i would be enough and this could be enough this would be enough said i would be enough and this could be enough see we could be enough oh baby i could be enough we could be enough this could be enough oooh don't look no further (no further) don't go nowhere i could be enough (i could be enough) we could have it all tell me baby (baby) can you feel me? (hey) can i be enough? (can i be enough?) and your family? (me and your family?) listen baby (listen baby) we can have it all; (we could have it all) can i be enough? (can i be enough?) yeah woo  so look around look around at how lucky we are to be alive right now look around look around… look around look around at how lucky we are to be alive right now look around look around… baby darling oooh
kill your mama, alicia keys, come on feel me yes  shame on us on your sons and your daughters thieve all your gold and we poison all your waters every piece of our soul is for sale now they bought us think we know it all then look where it got us  oh mama mama oh mama mama we're crying to the wind  tryina play god we been fucking with genetics all that you have given and we only disrespect it the rate that we’re going premature armageddon that's what gonna happen if we let it  oh mama mama oh mama mama we're crying to the wind mm  is there any savin' us we've become so dangerous is there any change in us even for the sake of love how you gonna kill your mama when only mama is gonna love you to the grave  killing ourselves falling down with the sickness money is the king it's a dirty bloody business there will be no trial but the child will always witness if we are in love with hell why the hell would heaven visit  oh mama mama oh mama mama we're crying to the wind  when mama gets the belt you gon' wish we didn't do it had your chance for redemption but you fuckin' blew it now the weather is changin' it and the hurricane is movin' right in your direction what direction are you choosin'  oh mama mama oh mama mama forgive us for your pain  is there any savin' us we've become so dangerous is there any changing us even for the sake of love how you gonna kill your mama when only mama is gonna love you to the grave  how you gonna kill your mama how you gonna kill your mama
doesn't mean anything, alicia keys, used to dream of being a millionaire without a care but if i'm seeing my dreams and you aren't there 'cause it's over that just won't be fair darlin' rather be a poor woman livin' on the street no food to eat 'cause i don't want no pie if i have to cry 'cause it's over when you said goodbye  all at once i had it all but it doesn't mean anything now that you're gone from afar seems i had it all but it doesn't mean anything since you're gone  now i see myself through different eyes it's no surprise what being alone would make you realize when it's over all in love is fair i shoulda been there i shoulda been there i shoulda shoulda  all at once i had it all but it doesn't mean anything now that you're gone from afar seems i had it all but it doesn't mean anything since you're gone  i know i pushed you away what can i do that will save our love? take these material things they don't mean nothing it's you that i want  all at once i had it all but it doesn't mean anything now that you're gone from afar seems i had it all but it doesn't mean anything since you're gone (i shoulda been there i shoulda been there i shoulda shoulda) all at once i had it all but it doesn't mean anything now that you're gone from afar seems i had it all but it doesn't mean anything since you're gone
streets of new york, alicia keys, nasty (yeah yeah) (new york new york new york new york) ayo black it's time again! (yeah yeah) (new york new york new york new york) yeah. premier! (yeah yeah) (new york new york new york new york) (ayo black it's time)  if you knew my streets you would know all everybody talk about is who got beef who's snitchin' who told police who came home who's still gone who rest in peace now they killin' over music money not drugs rap replaced it cause thugs with no brains got no patience new jacks i pistol whip 'em with the funky rhythm i be kickin' musician inflictin' composition of pain i'm like saddam hussein still alive lookin' at his dead children's burnt remains i birthed the game learnt you lames a new lesson your crew's soft man ya'll need some new weapons the ps breed warriors in skullies and timbies around micks spics niggas and guineas for my ghetto kings in deep thought we don't blink but don't think we wastin' our time it's a new york state of mind  new york new york new york new york city whoa ohh new york new york new york new york city gritty  it's like a jungle out here so much struggle out here and my dreams steal my rest sleep's the cousin of death always feels like a race against father time in the streets of new york (new york state of mind new york state of mind) all i see is street hoes and bullet holes in our people only crime fills the brain feels like i'm goin' insane the revolution has to start don't waste no time in the streets of new york (new york state of mind) new york state of mind (new york state of mind) c'mon  new york new york new york new york ohh state of mind (new york city) new york new york new york new york ohh state of crime (new york city) new york new york new york new york ohh big dreams (new york city) new york new york new york new york ohh big schemes  oh it's like the game just ain't the same baby thugs and girls with no shame can't get away (get away) epidemic plague (plague) every hood in every state don't have no reasons cause believin's hard to find in the streets of new york (new york state of mind) in the streets of new york (new york state of mind) in the streets of new york (new york state of mind) in the streets of new york (new york state of mind)  i'm from the home of a million legends and trend settin' a lot of footsteps to follow i been steppin' mind stressin' tryna find direction crime spreadin' time precious i ain't have rest since 9/11 i live fast hustle like today is my last i get cash the struggle's like a day on the ave crack d and raw gats squeezin' off manhattan streets in awe from casualties of war the eve of the apocalypse evil people in politics every block is at risk the metropolitan metropolis the opposite of liza minnelli and frank sinatra alicia keys nas and ra the gangsta's opera so new york city walk with me talk gritty it's up to us new york it's our city here the man come with the anthem hands up it's time the thrill is back new york let's stand up  new york new york new york new york city whoa ohh (uh. yeah.) new york new york new york new york city gritty (crucial keys. ya god rakim allah) new york new york new york new york city whoa ohh (new york city. nasty nas) new york new york new york new york city gritty (a. keys. yeah c'mon) produced by dj premier
girl can’t be herself, alicia keys, when a girl can’t be herself no more i just wanna cry i just wanna cry for the world when a girl can’t be herself no more i just wanna cry i just wanna cry for the world  in the morning from the minute that i wake up what if i don’t want to put on all that make up? who says i must conceal what i’m made of? maybe all this maybelline is covering my self-esteem whose job is it to straighten out my curves? i’m so tired of that image that’s my word what if today i don’t feel like putting heels on? who are you to criticize when beauty’s only in the eyes… of the beholder so behold her sing sing sing why oh oh oh why oh?  when a girl can’t be herself no more i just wanna cry i just wanna cry for the world when a girl can’t be herself no more i just wanna cry i just wanna cry for the world  uh uh i’m so secure with insecurities why is being unique such an impurity? why are the numbers on the scale like a god to me? all of these indifferences are based on our appearances we please to be appeased the truest pleasure is the fact that we can breathe think it into existence do it then achieve a fairy tale reality beauty was with a beast ah ah ah i’m the image of your reflection uh uh uh you’re the image of my reflection sing sing sing why oh oh oh why oh?  when a girl can’t be herself no more i just wanna cry i just wanna cry for the world when a girl can’t be herself no more i just wanna cry i just wanna cry for the world
lesson learned, alicia keys, he broke my heart and now it's raining just to rub it in i'm at your door i feel so crazy about it you'll say i told you so you saw it long ago you knew he had to go i finally came 'round i'm back on solid ground can't let it get me down  it's alright it's alright it's alright (it's alright) it's alright (yeah) it's alright (yeah) it's alright  yes i was burned but i called it a lesson learned mistake overturned so i call it a lesson learned my soul has returned so i call it a lesson learned another lesson learned  sometimes some lies can take a minute to fully realize his tears your eyes thirty seconds to apologize you give it one more chance just like the time before but he already know you'd give a hundred more until that night in bed you wake up in a sweat you're racing to the door can't take it anymore  yes i was burned but i called it a lesson learned mistake overturned so i call it a lesson learned my soul has returned so i call it a lesson learned another lesson learned  life perfect ain't perfect if you don't know what the struggle's for falling down ain't falling down if you don't cry when you hit the floor it's called the past 'cause i'm getting past and i ain't nothing like i was before you oughta see me now  yes i was burned but i called it a lesson learned mistake overturned so i call it a lesson learned my soul has returned so i call it a lesson learned another lesson learned whoa said yes i was burned but i called it a lesson learned said mistake overturned so i call it a lesson learned my soul has returned so i call it a lesson learned oh lesson learned oh another lesson learned  it's alright it's alright it's alright it's alright a lesson learned it's alright it's alright it's alright
butterflyz, alicia keys, lately when i look into your eyes baby i fly you're the only one i need in my life baby i just don't know how to describe how lovely you make me feel inside  you give me butterflyz have me flying so high in the sky i can't control the butterflyz you give me butterflyz got me flying so high in the sky i can't control the butterflyz  it seemed like the likely thing from the start you told me yeah i would be your queen but never had i imagined such a feeling joy is what you bring i wanna give you everything  you give me butterflyz have me flying so high in the sky i can't control the butterflyz you give me butterflyz have me flying so high in the sky i can't control these butterflyz  you and i are destiny i know now you were made for me i can't control it it's driving me taking over me and i... ohh  you give me butterflyz got me flying so high in the sky i can't control the butterflyz you give me butterflyz got me flying so high in the sky i can't control the butterflyz you give me butterflyz got me flying so high in the sky i can't control i can't control it you give me butterflyz got me flying so high in the sky i can't control the butterflyz oh no oh no  you give me something i just can't deny something that's so real i just can't control the way i feel inside of me... you give me something i just can't deny something that's so real i just can't control the way i feel oh i never felt like this
girlfriend, alicia keys, yeah yeah what uh-uh uh yeah yeah what 2000 your girlfriend alicia keys uh-uh j.d. wha' wha' come on  may be silly for me to feel this way about you and her 'cause i know she's been such a good friend i know she has helped you through talkin' late on the phone every night you've been callin' private moments alone could your heart soon be fallin'? and i know she's a friend but i can't shake the feeling that i could be losing your heart  i think i'm jealous of your girlfriend although she's just a girl that is your friend i think i'm jealous of your girlfriend she shares a special part of you  you said that she's one who helped you see how deep you're in love with me and intentions were not to get in between but i see possibilities and you say that you feel i'm the best thing in your life and i know it's real and i see it in your eyes there's no reason for me to even feel this way i know you just enjoy her company  i think i'm jealous of your girlfriend although she's just a girl that is your friend i think i'm jealous of your girlfriend she shares a special part of you i think i'm jealous of your girlfriend although she's just a girl that is your friend i think i'm jealous of your girlfriend she shares a special part of you  say you're jealous but you can't tell me why say you're jealous but you can't tell me why say you're jealous but you can't tell me why (your girlfriend) say you're jealous but you can't tell me why say you're jealous but you can't tell me why say you're jealous but you can't tell me why say you're jealous but you can't tell me why (it's enough to make a nigga go crazy)  i think i'm jealous of your girlfriend although she's just a girl that is your friend i think i'm jealous of your girlfriend she shares a special part of you
too good at goodbyes, sam smith, you must think that i'm stupid you must think that i'm a fool you must think that i'm new to this but i have seen this all before  i'm never gonna let you close to me even though you mean the most to me 'cause every time i open up it hurts so i'm never gonna get too close to you even when i mean the most to you in case you go and leave me in the dirt  but every time you hurt me the less that i cry and every time you leave me the quicker these tears dry and every time you walk out the less i love you baby we don't stand a chance it's sad but it's true  i'm way too good at goodbyes (i'm way too good at goodbyes) i'm way too good at goodbyes (i'm way too good at goodbyes)  i know you're thinkin' i'm heartless i know you're thinkin' i'm cold i'm just protectin' my innocence i'm just protectin' my soul  i'm never gonna let you close to me even though you mean the most to me 'cause every time i open up it hurts so i'm never gonna get too close to you even when i mean the most to you in case you go and leave me in the dirt  but every time you hurt me the less that i cry and every time you leave me the quicker these tears dry and every time you walk out the less l love you baby we don't stand a chance it's sad but it's true  i'm way too good at goodbyes (i'm way too good at goodbyes) i'm way too good at goodbyes (i'm way too good at goodbyes) no way that you'll see me cry (no way that you'll see me cry) i'm way too good at goodbyes (i'm way too good at goodbyes)  no no no no no no (i'm way too good at goodbyes) no no no no no no no (i'm way too good at goodbyes) (no way that you'll see me cry) ahhh (i'm way too good at goodbyes)  'cause every time you hurt me the less that i cry and every time you leave me the quicker these tears dry and every time you walk out the less i love you baby we don't stand a chance it's sad but it's true i'm way too good at goodbyes
stay with me, sam smith, guess it's true i'm not good at a one-night stand but i still need love 'cause i'm just a man these nights never seem to go to plan i don't want you to leave will you hold my hand?  oh won't you stay with me? 'cause you're all i need this ain't love it's clear to see but darling stay with me  why am i so emotional? no it's not a good look gain some self-control and deep down i know this never works but you can lay with me so it doesn't hurt  oh won't you stay with me? 'cause you're all i need this ain't love it's clear to see but darling stay with me oooh oooh oooh oooh  oh won't you stay with me? 'cause you're all i need this ain't love it's clear to see but darling stay with me  oh won't you stay with me? 'cause you're all i need this ain't love it's clear to see but darling stay with me
i'm not the only one, sam smith, you and me we made a vow for better or for worse i can't believe you let me down but the proof's in the way it hurts for months on end i've had my doubts denying every tear i wish this would be over now but i know that i still need you here  you say i'm crazy 'cause you don't think i know what you've done but when you call me baby i know i'm not the only one  you've been so unavailable now sadly i know why your heart is unobtainable even though lord knows you kept mine  you say i'm crazy 'cause you don't think i know what you've done but when you call me baby i know i'm not the only one  i have loved you for many years maybe i am just not enough you've made me realise my deepest fear by lying and tearing us up  you say i'm crazy 'cause you don't think i know what you've done but when you call me baby i know i'm not the only one you say i'm crazy 'cause you don't think i know what you've done but when you call me baby i know i'm not the only one  i know i'm not the only one i know i'm not the only one and i know and i know and i know and i know and i know and i know know i know i'm not the only one
pray, sam smith, i'm young and i'm foolish i make bad decisions i block out the news turn my back on religion don't have no degree i'm somewhat naïve i've made it this far on my own but lately that shit ain't been gettin' me higher i lift up my head and the world is on fire there's dread in my heart and fear in my bones and i just don't know what to say  maybe i'll pray pray maybe i'll pray i have never believed in you no but i'm gonna pray  you won't find me in church (no) readin' the bible (no) i am still here and i'm still your disciple i'm down on my knees i'm beggin' you please i'm broken alone and afraid i'm not a saint i'm more of a sinner i don't wanna lose but i fear for the winners when i try to explain the words run away that's why i am stood here today  and i'm gonna pray (lord) pray (lord) maybe i'll pray pray for a glimmer of hope maybe i'll pray (lord) pray (lord) maybe i'll pray i've never believed in you no but i'm gonna...  won't you call me? can we have a one-on-one please? let's talk about freedom everyone prays in the end everyone prays in the end oh won't you call me? can we have a one-on-one please? let's talk about freedom everyone prays in the end everyone prays in the end  oh i'm gonna pray i'm gonna pray i'm gonna pray pray for a glimmer of hope maybe i'll pray pray maybe i'll pray i've never believed in you no but i'm gonna pray
lay me down, sam smith, yes i do i believe that one day i will be where i was right there right next to you and it's hard the days just seem so dark the moon the stars are nothing without you your touch your skin where do i begin? no words can explain the way i'm missing you deny this emptiness this hole that i'm inside these tears they tell their own story  told me not to cry when you were gone but the feeling's overwhelming it's much too strong  can i lay by your side next to you you? and make sure you're alright i'll take care of you i don't want to be here if i can't be with you tonight  i'm reaching out to you can you hear my call? this hurt that i've been through i'm missing you missing you like crazy  you told me not to cry when you were gone but the feeling's overwhelming it's much too strong  can i lay by your side next to you you? and make sure you're alright i'll take care of you i don't want to be here if i can't be with you tonight  lay me down tonight lay me by your side lay me down tonight lay me by your side can i lay by your side next to you you
writing's on the wall, sam smith, i've been here before but always hit the floor i've spent a lifetime runnin' and i always get away but with you i'm feeling something that makes me want to stay i'm prepared for this i never shoot to miss but i feel like a storm is coming if i'm gonna make it through the day then there's no more use in runnin' this is something i gotta face  if i risk it all could you break my fall?  how do i live? how do i breathe? when you're not here i'm suffocating i wanna feel love run through my blood tell me is this where i give it all up? for you i have to risk it all cause the writing's on the wall  a million shards of glass that haunt me from my past as the stars begin to gather and the light begins to fade when all hope begins to shatter know that i won't be afraid  if i risk it all could you break my fall?  how do i live? how do i breathe? when you're not here i'm suffocating i wanna feel love run through my blood tell me is this where i give it all up? for you i have to risk it all cause the writing's on the wall  the writing's on the wall  how do i live? how do i breathe? when you're not here i'm suffocating i wanna feel love run through my blood tell me is this where i give it all up? how do i live? how do i breathe? when you're not here i'm suffocating i wanna feel love run through my blood tell me is this where i give it all up? for you i have to risk it all cause the writing's on the wall
palace, sam smith, my head is filled with ruins most of them i built with you now the dust no longer moves don't disturb the ghost of you mmm they are empty they are worn tell me what we built this for on my way to somethin' more you're that one i can't ignore mmm  i'm gonna miss you i still care sometimes i wish we never built this palace but real love is never a waste of time mmm  yeah i know just what you're sayin' and i regret ever complainin' about this heart and all its breakin' it was beauty we were makin' mmm and i know we'll both move on you'll forgive what i did wrong they will love the better you but i still own the ghost of you mmm  i'm gonna miss you i'm still there sometimes i wish we never built this palace but real love is never a waste of time oh i'm gonna miss you i'm still there sometimes i wish we’d never built this palace but real love is never a waste of time but real love is never a waste of time
midnight train, sam smith, i choose me and i know that’s selfish love you are a dream and i can’t thank you enough but i give another piece of me away every wakin' day that i’m with you am i a monster? what will your family think of me? they brought me in they helped me out with everything but i give a little piece of me away every single day  so i pick up the pieces i get on the midnight train i got my reasons but darlin' i can’t explain i’ll always love you but tonight’s the night i choose to walk away bah-bah doo bah-bah doo bah-bah doo bah-bah doo  love you so much that i have to let you go i’ll miss your touch and the secrets we both know but it would be wrong for me to stay and i’ll just give you hope  so i pick up the pieces i get on the midnight train i got my reasons but darlin' i can’t explain i’ll always love you but tonight’s the night i choose to walk away i can’t stop cryin' i hate that i’ve caused you pain but i can’t deny it i just don’t feel the same i’ll always love you but tonight’s the night i choose to walk away bah-bah doo bah-bah doo bah-bah doo bah-bah doo so i pick up the pieces i get on the midnight train i got my reasons but darlin' i can’t explain i’ll always love you but tonight’s the night i choose to walk away
him, sam smith, holy father we need to talk i have a secret that i can't keep i'm not the boy that you thought you wanted please don't get angry have faith in me  say i shouldn't be here but i can't give up his touch it is him i love it is him don't you try and tell me that god doesn't care for us it is him i love it is him i love  i walk the streets of mississippi i hold my lover by the hand i feel you staring when he is with me how can i make you understand?  say i shouldn't be here but i can't give up his touch it is him i love it is him don't you try and tell me that god doesn't care for us it is him i love it is him i love  ohh ohh oh i love ohh ohh no no i love ohh ohh i love ohh ohh ohh ohh him i love ohh ohh him i love ohh ohh him i love ohh ohh him i love  holy father judge my sins i'm not afraid of what they will bring i'm not the boy that you thought you wanted i love him
one last song, sam smith, maybe one day i won’t sing about you i’ll sing a song about someone new but right here right now you are on my mind and i think about you all the time  i’m sendin' a message to you and i’m hopin' that it will get through  when it was good it was bittersweet honey you made me sad ‘til i loved the shade of blue i know you don’t want to talk to me so this is what i will do maybe you’re listenin' so here’s one last song for you here’s one last song for you  and i hope it makes you feel and i hope it makes you burn and i hope it reminds you of how much it hurt  i’m sendin' a message to you and i’m hopin' that it will get through  when it was good it was bittersweet honey you made me sad ‘til i loved the shade of blue i know you don’t want to talk to me so this is what i will do maybe you’re listenin' so here’s one last song for you  in case you hear this then know you’re the love of my life want to tell you i’m sorry i miss havin' you by my side when you were mine  when it was good it was bittersweet honey you made me sad ‘til i loved the shade of blue i know you don’t want to talk to me so this is what i will do maybe you’re listenin' so here’s one last song for you here’s one last song for you
burning, sam smith, i've been burnin' yes i've been burnin' such a burden this flame on my chest no insurance to pay for the damage yeah i've been burnin' up since you left  i've been smokin' oh more than twenty a day blame it on rebellion don't blame it on me wish i was younger back to the nineteenth of may i had an open mind swore to never change  funny how time goes by had respect for myself that river ran dry you reached a limit i wasn't enough it's like the fire replaced all the love  i've been burnin' yes i've been burnin' such a burden this flame on my chest no insurance to pay for the damage yeah i've been burnin' up since you left  oh if you ever called i will run straight back give you my forgiveness and the shirt off my back no friends to turn to yeah i messed up that wish we could smoke again just for a day oh  funny how time goes by had respect for myself that river ran dry you reached a limit i wasn't enough and it's like the fire replaced all the love  i've been burnin' yes i've been burnin' such a burden this flame on my chest no insurance to pay for the damage yeah i've been burnin' up since you left  yeah i've been burnin' up since you left oh i've been burnin' up since you left
money on my mind, sam smith, when i signed my deal i felt pressure don't want to see the numbers i want to see heaven you say could you write a song for me? i say i'm sorry i won't do that happily  when i go home i tend to close the door i never wanted more so sing with me can't you see?  i don't have money on my mind money on my mind i do it for i do it for the love i don't have money on my mind money on my mind i do it for i do it for the love  i do it for the love i do it for the love  please don't get me wrong i wanna keep it moving i know what that requires i'm not foolish please can you make this work for me? 'cause i am not a puppet i will work against your strings  when i go home i tend to close the door i never wanted more so sing with me can't you see?  i don't have money on my mind money on my mind i do it for i do it for the love i don't have money on my mind money on my mind i do it for i do it for the love  i do it for the love i do it for the love  when the sun will set don't you afraid no i have no money on my mind no money on my mind no money on my mind no i have no money on my mind just love when the sun will set don't you afraid no i have no money on my mind no money on my mind no money on my mind no i have no money on my mind just love  money on my mind money on my mind i do it for i do it for the love i don't have money on my mind money on my mind i do it for i do it for the love  i do it for the love i do it for the love
the thrill of it all, sam smith, i regret that i told the world that you were with me and i regret how i showed the world that you were pretty i never thought i’d learn so much so much from bein' lonely but i guess i didn’t learn enough ‘cause now you won’t hold me  i guess i got lost in the moment i guess i got lost in the fall i guess i got lost in your heartbeat in the thrill of it all and i guess you were goddamn perfect ‘cause every single time you call i remind myself of what i lost that night my love in the thrill of it all in the thrill of it all  even though we weren’t in love it was far from lust yeah you were beautiful but in you i could trust others they warned my heart they said i would lose fast they said that you were stoppin' ground and soon to be my past  i guess i got lost in the moment i guess i got lost in the fall i guess i got lost in your heartbeat in the thrill of it all and i guess you were goddamn perfect ‘cause every single time you call i remind myself of what i lost that night my love in the thrill of it all oh in the thrill of it all  and i guess you were goddamn perfect ‘cause every single time you call i remind myself of what i lost that night my love i remind myself of what i lost that night my love i remind myself of what i lost that night my love in the thrill of it all
no peace, sam smith, i see you in the morning feel your fingers in my hair sometimes i still pretend you're there it hits me without warning your reflection walking by but i know it's only in my mind  will you show me the piece of my heart i've been missin'? won't you give me the part of myself that i can't give back? will you show me the piece of my heart i've been missin'? 'cause i'd kill for you and darlin' you know that  so i'll light up a cigarette i'll drink it down 'til there's nothin' left 'cause i sure can't get no sleep and lord knows there's no relief you held my heart in your fingertips so now i drown in my bitterness oh i can't get no sleep and i sure won't i sure won't find no peace no peace  all that i am askin' is for a little clarity that's all that really matters to me in and out of focus tears are in my eyes we're burnin' down the bridges this time  will you show me the piece of my heart i've been missin'? won't you give me the part of myself that i can't give back? will you show me the piece of my heart i've been missin'? 'cause i'd kill for you and darlin' you know that  so i'll light up a cigarette i'll drink it down 'til there's nothin' left 'cause i sure can't get no sleep and lord knows there's no relief you held my heart in your fingertips so now i drown in my bitterness oh i can't get no sleep and i sure won't i sure won't find  i used to find comfort in your arms caught up in the wonder of your charms oh i'll cry for you i'll cry for you i'll lie for you i'll lie for you but i don't even know you anymore  so i'll light up a cigarette i'll drink it down 'til there's nothin' left 'cause i sure can't get no sleep and lord knows there's no relief you held my heart in your fingertips so now i drown in my bitterness oh i can't get no sleep and i sure won't i sure won't find no peace  sure won't find no peace no no will you give me the piece will you give me the piece of my heart? will you give me the piece will you give me the piece of my heart?
