song,artist,lyrics
babe i'm gonna leave you, led zeppelin, babe baby baby i'm gonna leave you i said baby you know i'm gonna leave you i'll leave you when the summertime leave you when the summer comes a-rolling leave you when the summer comes along  babe babe babe babe babe babe baby baby i want to leave you i ain't joking woman i've got to ramble oh yeah baby baby i believin' we really got to ramble (i can hear it calling me) i can hear it calling me the way it used to do i can hear it calling me back home  babe i'm gonna leave you oh baby you know i've really got to leave you oh i can hear it calling me i said don't you hear it calling me the way it used to do?  i know i know i know i never never never never never gonna leave you babe but i got to go away from this place i've got to quit you yeah oh baby baby baby baby baby baby baby oh don't you hear it callin' me? oh woman woman i know i know it feels good to have you back again and i know that one day baby it's gonna really grow yes it is we gonna go walkin' through the park every day come what may every day oh my my my my my my babe i'm gonna leave you go away  oh i miss you baby it was really really good you made me happy every single day but now i've got to go away oh oh oh  baby baby baby baby that's when it's calling me i said that's when it's calling me back home;;;;;;;;;;;;
dazed and confused, led zeppelin, been dazed and confused for so long it's not true wanted a woman never bargained for you lots of people talk and few of them know soul of a woman was created below yeah  you hurt and abuse telling all of your lies run around sweet baby lord how they hypnotize sweet little baby i don't know where you've been gonna love you baby here i come again  if you're going to san francisco be sure to wear some flowers in your hair if you're going to san francisco you're gonna meet a lot of gentle people there  every day i work so hard bringing home my hard earned pay try to love you baby but you push me away don't know where you're going only know just where you've been sweet little baby i want you again   been dazed and confused for so long it's not true wanted a woman never bargained for you take it easy baby let them say what they will did your tongue wag so much when i sent you the bill?;;;;;;;;;;;;
all my love, led zeppelin, should i fall out of love my fire in the light to chase a feather in the wind within the glow that weaves a cloak of delight there moves a thread that has no end  for many hours and days that pass ever soon the tides have caused the flame to dim at last the arm is straight the hand to the loom is this to end or just begin?  all of my love all of my love all of my love to you now all of my love all of my love oh all of my love to you now  the cup is raised the toast is made yet again one voice is clear above the din proud arianne one word my will to sustain for me the cloth once more to spin  oh all of my love all of my love oh all of my love for you now all of my love all of my love yes all of my love to you child   yours is the cloth mine is the hand that sews time his is the force that lies within ours is the fire all the warmth we can find he is a feather in the wind  oh all of my love all of my love oh all of my love to you now all of my love oh yes all of my love to you all of my love all of my love all of my love! sometimes sometimes hey hey hey hey ooooh yeah it's all all all all of my love all of my love all of my love to you now all of my love all of my love all of my love to you now i get a little bit lonely just a little just a little just a little bit lonely just a little bit lonely;;;;;;;;;;;;
when the levee breaks, led zeppelin, if it keeps on raining levee's going to break if it keeps on raining the levee's going to break when the levee breaks we'll have no place to stay  mean old levee taught me to weep and moan oh mean old levee taught me to weep and moan it's got what it takes to make a mountain man leave his home oh well oh well oh well ooh  oh don't it make you feel bad when you're trying to find your way home you don't know which way to go if you're going down south they got no work to do if you're going north to chicago   crying won't help you praying won't do you no good no crying won't help you praying won't do you no good when the levee breaks mama you got to move ooh  all last night i sat on the levee and moaned all last night sat on the levee and moaned thinking about my baby and my happy home oh-ho  ah ah ah ah-ah ah ah ah ah-ah oh oh  going i'm going to chicago going to chicago sorry but i can't take you going down going down now going down i'm going down now going down going down going down going down ohh going down going down now going down going down now going down going down now going down going dow- dow- dow- dow- down now ooh ooh;;;;;;;;;;;;
no quarter, led zeppelin, close the door put out the light you know they won't be home tonight the snow falls hard and don't you know? the winds of thor are blowing cold they're wearing steel that's bright and true they carry news that must get through  they choose the path where no-one goes they hold no quarter they hold no quarter   walking side by side with death the devil mocks their every step the snow drives back the foot that's slow the dogs of doom are howling more they carry news that must get through to build a dream for me and you  they choose the path where no-one goes they hold no quarter they ask no quarter they hold no quarter they ask no quarter the pain the pain without quarter they ask no quarter the dogs of doom are howling more!;;;;;;;;;;;;
since i've been loving you, led zeppelin, been working from seven to eleven every night really makes life a drag i don't think that's right  i've really been the best the best of fools i did what i could yeah cause i love you baby how i love you darling how i love you baby my beloved little girl little girl  but baby since i've been loving you yeah i'm about to lose my worried mind oh yeah  everybody trying to tell me that you didn't mean me no good i've been trying lord let me tell you let me tell you i really did the best i could  i've been i've been working from seven to eleven every night i said it kinda makes my life a drag drag drag lord yeah that ain't right  since i've been loving you yeah i'm about to lose my worried mind watch out   said i've been crying yeah oh my tears they fell like rain don't you hear them don't you hear them falling? don't you hear them don't you hear them falling?  do you remember mama when i knocked upon your door? i said you had the nerve to tell me you didn't want me no more yeah i open my front door hear my back door slam you know i must have one of them newfangled newfangled back-door men  i've been working from seven seven seven to eleven eleven every night it kinda makes my life a drag drag yeah it makes it a drag  baby since i've been loving you i'm about to lose i'm about to lose my worried mind oh yeah just one more just one more oooh yeah since i've been loving you i'm gonna lose my worried mind;;;;;;;;;;;;
the rain song, led zeppelin, it is the springtime of my loving the second season i am to know you are the sunlight in my growing so little warmth i've felt before it isn't hard to feel me glowing i watched the fire that grew so low oooh oh   it is the summer of my smiles flee from me keepers of the gloom speak to me only with your eyes it is to you i give this tune ain't so hard to recognize oh these things are clear to all from time to time oooh oh oh  ah talk talk talk talk hey! i've felt the coldness of my winter i never thought it would ever go i cursed the gloom that set upon us upon us upon us but i know that i love you so ohhhh oh but i know that i love you so these are the seasons of emotion and like the winds they rise and fall this is the wonder of devotion i see the torch we all must hold this is the mystery of the quotient quotient ah upon us all upon us all a little rain must fall just a little rain oh yeah uhh ooooh yeah yeah yeah;;;;;;;;;;;;
the battle of evermore, led zeppelin, the queen of light took her bow and then she turned to go the prince of peace embraced the gloom and walked the night alone oh dance in the dark of night sing to the morning light the dark lord rides in force tonight and time will tell us all oh throw down your plow and hoe rest not to lock your homes side by side we wait the might of the darkest of them all oh  i hear the horses' thunder down in the valley below i'm waiting for the angels of avalon waiting for the eastern glow  the apples of the valley hold the seeds of happiness the ground is rich from tender care repay do not forget no no dance in the dark of night sing to the morning light the apples turn to brown and black the tyrant's face is red oh war is the common cry pick up your swords and fly the sky is filled with good and bad mortals never know oh  oh well the night is long the beads of time pass slow tired eyes on the sunrise waiting for the eastern glow  the pain of war cannot exceed the woe of aftermath the drums will shake the castle wall the ring wraiths ride in black ride on sing as you raise your bow (ride on) shoot straighter than before no comfort has the fire at night that lights the face so cold oh dance in the dark of night sing to the morning light the magic runes are writ in gold to bring the balance back bring it back  at last the sun is shining the clouds of blue roll by with flames from the dragon of darkness the sunlight blinds his eyes! bring it back bring it back bring it back bring it back bring it back bring it back bring it back bring it back oh now oh now oh now oh oh now oh now oh now bring it back bring it back bring it back bring it back oh now oh now oh now oh oh now oh now oh now bring it bring it bring it bring it bring it bring it bring it bring it bring it bring it bring it bring it;;;;;;;;;;;;
over the hills and far away, led zeppelin, hey lady you got the love i need maybe more than enough oh darling darling darling; walk a while with me oh you've got so much so much so much  many have i loved and many times been bitten many times i've gazed along the open road many times i've lied and many times i've listened many times i've wondered how much there is to know many dreams come true and some have silver linings i live for my dream and a pocketful of gold   mellow is the man who knows what he's been missing many many men can't see the open road many is a word that only leaves you guessing guessing 'bout a thing you really ought to know ooh! really ought to know oh oh oh i really ought to know you know i should know i should know i should have known;;;;;;;;;;;
heartbreaker, led zeppelin, hey fellas have you heard the news? you know that annie's back in town it won't take long just watch and see how the fellas lay their money down  her style is new but the face the same as it was so long ago but from her eyes a different smile like that of one who knows  well it's been ten years or maybe more since i first set eyes on you the best years of my life gone by here i am alone and blue  some people cry and some people die by the wicked ways of love but i'll just keep on rolling along with the grace of the lord above  people talking all around about the way you left me flat i don't care what the people say i know where their jive is at  one thing i do have on my mind if you can clarify please do it's the way you call me by another guy's name when i try to make love to you yeah i try to make love but it ain't no use give it to me give it   work so hard i couldn't unwind get some money saved abuse my love a thousand times however hard i tried  heartbreaker; your time has come can't take your evil way go away heartbreaker heartbreaker! heartbreaker! heart!;;;;;;;;;;;
rock and roll, led zeppelin, it's been a long time since i rock and rolled it's been a long time since i did the stroll ooh let me get it back let me get it back let me get it back baby where i come from  it's been a long time been a long time been a long lonely lonely lonely lonely lonely time yes it has  it's been a long time since the book of love i can't count the tears of a life with no love carry me back carry me back carry me back baby where i come from  it's been a long time been a long time been a long lonely lonely lonely lonely lonely time  seems so long since we walked in the moonlight making vows that just can't work right open your arms opens your arms open your arms baby let my love come running in  it's been a long time been a long time been a long lonely lonely lonely lonely lonely time oh yeah oh yeah oh yeah oh yeah it's been a long time been a long time been a long lonely lonely lonely lonely lonely time;;;;;;;;;;;;
good times bad times, led zeppelin, in the days of my youth i was told what it means to be a man and now i've reached that age i've tried to do all those things the best i can no matter how i try i find my way into the same old jam  good times bad times you know i had my share when my woman left home with a brown eyed man well i still don't seem to care  sixteen i fell in love with a girl as sweet as could be only took a couple of days 'til she was rid of me she swore that she would be all mine and love me till the end but when i whispered in her ear i lost another friend oooh  good times bad times you know i had my share when my woman left home for a brown eyed man well i still don't seem to care   good times bad times you know i had my share when my woman left home for a brown eyed man well i still don't seem to care  i know what it means to be alone i sure do wish i was at home i don't care what the neighbours say i'm gonna love you each and every day you can feel the beat within my heart realize sweet babe we ain't ever gonna part;;;;;;;;;;;;
what is and what should never be, led zeppelin, and if i say to you tomorrow take my hand child come with me it's to a castle i will take you where what's to be they say will be  catch the wind see us spin sail away leave today way up high in the sky but the wind won't blow you really shouldn't go it only goes to show that you will be mine by taking our time  and if you say to me tomorrow oh what fun it all would be then what's to stop us pretty baby but what is and what should never be?  catch the wind see us spin sail away leave today way up high in the sky but the wind won't blow you really shouldn't go it only goes to show that you will be mine by taking our time  so if you wake up with the sunrise and all your dreams are still as new and happiness is what you need so bad girl the answer lies with you  catch the wind see us spin sail away leave today way up high in the sky but the wind won't blow you really shouldn't go it only goes to show that you will be mine by taking our time  oh the wind won't blow and we really shouldn't go and it only goes to show catch the wind we're going to see it spin we're going to...sail leave today do do do bop bop a do-oh. my my my my my my yeah everybody i know seems to know me well but they're never going to know that i move like hell baby baby baby baby baby baby. oh lord baby baby babe. huh? oh i love ya do no no no no no no. c'mon now i want you now;;;;;;;;;;;;
ten years gone, led zeppelin, then as it was then again it will be and though the course may change sometimes rivers always reach the sea flying skies of fortune each a separate way on the wings of maybe downing birds of prey kind of makes me feel sometimes didn’t have to go but as the eagle leaves the nest got so far to go  changes fill my time baby that's alright with me in the midst i think of you and how it used to be  did you ever really need somebody and really need 'em bad? did you ever really want somebody the best love you ever had? do you ever remember me baby did it feel so good? cause it was just the first time and you knew you would  through the eyes and i sparkle senses growing keen taste your love along the way see your feathers preen kind of makes me feel sometimes didn't have to grow we are eagles of one nest the nest is in our soul  vixen in my dreams with great surprise to me never thought i'd see your face the way it used to be oh darling oh darling  i'm never going to leave you i'm never going to leave holding on ten years gone ten years gone holding on ten years gone;;;;;;;;;;;;
in my time of dying, led zeppelin, in my time of dying i want nobody to mourn all i want for you to do is take my body home  well well well so i can die easy well well well so i can die easy jesus got to make up you know jesus going to make up jesus going to make up my dying bed  meet me jesus meet me ooh meet me in the middle of the air if my wings should fail me lord oh please meet me with another pair  well well well so i can die easy oh oh well well well so i can die easy jesus going to make up somebody somebody oh oh jesus going to make up jesus going to make up my dying bed  oh saint peter at the gates of heaven won't you let me in i never did no harm i never did no wrong oh gabriel let me blow your horn let me blow your horn oh i never did no harm did no harm i've only been this young once i never thought i'd do anybody no wrong no not once oh no  oh yeah!  oh i did somebody some good somebody some good yes oh oh did somebody some good yeah i must have did somebody some good yeah oh i believe i did i see the smiling faces i know i must have left some traces oh   and i see them in the streets and i see them in the field and i hear them shouting under my feet and i know it's got to be real oh lord deliver me all the wrong i've done oh you can deliver me lord i only wanted to have some fun oh hear the angels marching hear them marching hear them marching hear them marching the marching  oh my jesus oh my jesus oh my jesus oh my jesus oh my jesus oh my jesus oh my jesus oh my jesus oh my jesus oh my jesus ah oh now my jesus hey yeah it's got to be my jesus oh it's got to be it's got to be my jesus it's got to be oh it's got to be my jesus oh gonna take me home come on come on i can hear the angels singing oh here they come here they come here they come bye-bye bye-bye bye-bye bye-bye bye-bye oh it feels pretty good up here pretty good up here oh georgina oh georgina oh georgina oh georgina oh georgina oh oh oh oh oh oh oh yeah oh i'll see you again come on oh don't you make it my dying dying dying  (coughing) cough that's gotta be the one hasn't it?! come have a listen then oh yes thank you;;;;;;;;;;;;
tangerine, led zeppelin, one two one two three four one two  measuring a summer's day i only find it slips away to grey the hours they bring me pain  tangerine tangerine living reflection from a dream i was her love she was my queen and now a thousand years in between  thinking how it used to be does she still remember times like these? to think of us again and i do   tangerine tangerine living reflection from a dream i was her love she was my queen and now a thousand years in between;;;;;;;;;;;;
the ocean, led zeppelin, we've done four already but now we're steady and then they went: one two three four  singing in the sunshine laughing in the rain hitting on the moonshine rocking in the grain got no time to pack my bags my foots outside the door got a date i can't be late for the high hopes hailla ball oh yeah...  singing to an ocean i can hear the ocean's roar (oooh) play for free play for me and play a whole lot more more! singing about good things and the sun that lights the day i used to sing on the mountains has the ocean lost its way?  i don't know oh oh yeah na nana na na na na na na na na na na na na na nana na na na na na na na na na na na na na nana na na na na na na na na na na na na na nana na na na na na na na na na na na na  sitting round singing songs until the night turns into day used to sing on the mountains but the mountains washed away now i'm singing all my songs to the girl who won my heart she is only three years old and it's a real fine way to start  oh yeah it sure is fine i blow my mind oh when the tears are going down yeah yeah  oh so good!;;;;;;;;;;;;
d'yer mak'er, led zeppelin, oh oh oh oh oh oh you don't have to go oh oh oh oh oh you don't have to go oh oh oh oh oh you don't have to go ay ay ay ay ay ay all those tears i cry ay ay ay ay ay all those tears i cry oh oh oh ay ay baby please don't go  when i read the letter you wrote me it made me mad mad mad when i read the words that it told me it made me sad sad sad but i still love you so i can't let you go i love you ooh baby i love you  oh oh oh oh oh oh every breath i take oh oh oh oh oh oooh every move i make baby please don't go ay ay ay ay ay ay you hurt me to my soul oh oh oh oh oh you hurt me to my soul oh oh oh oh oh darling please don't go  when i read the letter you sent me it made me mad mad mad when i read the news that it broke it made me sad sad sad but i still love you so and i can't let you go i love you ooh baby i love you  oh oh oh oh oh oh you don't have to go oh oh oh oh you don't have to go oh oh oh oh oh baby babe please please please please ah uh ah uh ah ah baby ah ah i really love you baby ooh ooh ooh ohh ooh ooh darling oh oh-wo oh baby i still love you so oh baby i still love you so oh-wo ooh oh oh oh oh oh oh yeah (fire) ah ah ah ah ah ah oh (fire) ah ah ah ah ah ooooh yeah (fire) oh baby baby;;;;;;;;;;;;
fool in the rain, led zeppelin, oh baby well there's a light in your eye that keeps shining like a star that can't wait for the night i hate to think i've been blinded baby why can't i see you tonight? and the warmth of your smile starts a-burning and the thrill of your touch gives me fright and i'm shaking so much really yearning why don't you show up make it all right? yeah it's all right  and if you promised you'd love so completely and you said you would always be true you swore that you never would leave me baby what ever happened to you? and you thought it was only in movies as you wish all your dreams would come true it ain’t the first time believe me baby i'm standing here feeling blue yeah i'm blue  now i will stand in the rain on the corner i'll watch the people go shuffling downtown another ten minutes no longer and then i'm turning around the clock on the wall's moving slower my heart it sinks to the ground and the storm that i thought would blow over clouds the light of the love that i found light of the love that i found light of the love that i found oh that i found  hey babe! ooh! hands on the clock just don’t seem to stop when i’m thinking it over ooh! tired of the light i just don’t seem to find gotta get away get away ooh! i see it in my dreams but i just don’t seem to be i’ve got to get all gotta get it all gotta get it all i’ve got to get all  now my body is starting to quiver and the palms of my hands getting wet i've got no reason to doubt you baby it's all a terrible mess and i'll run in the rain till i'm breathless when i'm breathless i'll run till i drop hey the thoughts of a fool's kind of careless i'm just a fool waiting on the wrong block oh yeah  light of the love that i found light of the love that i found light of the love that i light of the love that i found light of the hey eh light of the hey eh light of the love that i found light of the love that i found;;;;;;;;;;;;
misty mountain hop, led zeppelin, walking in the park just the other day baby what do you what do you think i saw? crowds of people sitting on the grass with flowers in their hair said hey boy do you want to score? and you know how it is? i really don't know what time it was woah oh oh so i asked them if i could stay a while  i didn't notice but it had got very dark and i was really really out of my mind just then a policeman stepped up to me and asked us said please hey would we care to all get in line get in line well you know they asked us to stay for tea and have some fun oh oh oh he said that his friends would all drop by ooh  why don't you take a good look at yourself and describe what you see? and baby baby baby do you like it? there you sit sitting spare like a book on a shelf rusting ah not trying to fight it you really don't care if they're coming? oh oh oh i know that it's all a state of mind ooh (no no no!)  if you go down in the streets today baby you better you better open your eyes folk down there really don't care really don't care don't care really don't which which way the pressure lies so i've decided what i'm going to do now so i'm packing my bags for the misty mountains where the spirits go now over the hills where the spirits fly ooh  i really don't know oh oh oh oh oh oh i really don't know oh oh oh oh oh oh oh i really don't know;;;;;;;;;;;;
achilles' last stand, led zeppelin, it was an april morning when they told us we should go and as i turned to you you smiled at me how could we say no? with all the fun to have to live the dreams we always had oh the songs to sing when we at last return again  sending off a glancing kiss to those who claim they know below the streets that steam and hiss the devil's in his hole oh to sail away to sandy lands and other days oh to touch the dream hides inside and never seen yeah  into the sun the south the north at last the birds have flown shackles of commitments fell in pieces on the ground oh to ride the wind to tread the air above the din oh to laugh aloud dancing as we fought the crowd yeah  to seek the man whose pointing hand the giant step unfolds to guide us from the curving path that turns our feet to stone if one bell should ring in celebration for a king so fast the heart should beat as proud the head with heavy feet yeah  oooooh yeah  days went by when you and i bathed in eternal summer's glow as far away and distant our mutual child did grow oh the sweet refrain soothes the soul and calms the pain oh albion remains sleeping now to rise again  wandering and wandering what place to rest the search the mighty arms of atlas hold the heavens from the earth for the mighty arms of atlas hold the heavens from the earth from the earth earth oh oh oh oh oh i know the way know the way know the way know the way i know the way know the way know the way know the way  oh oh oh oh ah ah ah ah ah ah ah ah ah ah oh oh oh oh oh oh oh  oh the mighty arms of atlas hold the heavens from the earth ah ah ah;;;;;;;;;;;;
hey hey what can i do, led zeppelin, want to tell you about the girl i love my she looks so fine she's the only one that i been dreaming of maybe someday she will be all mine i want to tell her that i love her so i thrill with her every touch i need to tell her she's the only one i really love  i got a woman want to bawl all day i got a woman she won't be true no i got a woman stay drunk all the time i said i got a little woman and she won't be true  sunday morning when we go down to church see the menfolk standing in line say they come to pray to the lord when my little girl looks so fine in the evening when the sun is sinking low everybody's with the one they love i walk the town keep a-searching all around looking for my street corner girl  i got a woman want to bawl all day yeah i got a woman she won't be true no no i got a woman stay drunk all the time i said i got a little woman and she won't be true  in the bars with the men who play guitars singing drinking and remembering the times my little lover does a midnight shift she followed around all of the time i guess there's just one thing a-left for me to do going to pack my bags and move on my way cause i got a worried mind sharing what i thought was mine going to leave her where the guitars play  i got a woman she won't be true no no i got a woman want to bawl all day yeah yeah naw naw i got a woman stay drunk all the time i got a little woman and she won't be true  (hey hey what can i do?) i said she won't be true naw yeah no yeah no (no no what can i say?) yeah no yeah no (hey hey what can i do?) oh keep on keep on keep on (no no what can i say?) keep on keep on keep on (hey hey what can i do?);;;;;;;;;;;;
the lemon song, led zeppelin, i should have quit you a long time ago ohh yeahhh long time ago i wouldn't be here my children down on this killing floor  i should have listened baby to my second mind oh i should have listened baby to my second mind everytime i go away and leave you darling you send me the blues way down the line   baby yeah give it to me baby my my my take it down a bit give it to me baby keep me satisfied tryin' worry bout me baby but i'd never get you with myself keep on worrying baby can't keep you satisfied huh let me tell you baby you ain't nothing but a two-bit no good jive  i went to sleep last night i worked as hard as i can i bring home my money you take my money give it to another man i should have quit you baby oh such a long time ago oh i wouldn't be here with all my troubles down on this killing floor  squeeze me baby till the juice runs down my leg squeeze me baby till the juice runs down my leg the way you squeeze my lemon ah i'm gonna fall right out of bed bed bed bed yeah  hey hey hey hey hey hey hey hey baby baby baby baby baby baby baby baby baby baby baby baby   i'm going to leave my children down on this killing floor;;;;;;;;;;;;
that's the way, led zeppelin, i don't know how i'm going to tell you i can't play with you no more i don't know how i'm gonna do what mama told me my friend the boy next door i can't believe what people saying you're gonna let your hair hang down i'm satisfied to sit here working all day long you're in the darker side of town  and when i'm out i see you walking why don't your eyes see me could it be you've found another game to play what did mama say to me  that's the way oh that's the way it ought to be yeah yeah mama say that's the way it ought to stay  and yesterday i saw you standing by the river and weren't those tears that filled your eyes and all the fish that lay in dirty water dying had they got you hypnotized? and yesterday i saw you kissing tiny flowers but all that lives is born to die and so i say to you that nothing really matters and all you do is stand and cry  i don't know what to say about it when all you ears have turned away but now's the time to look and look again at what you see is that the way it ought to stay?  that's the way that's the way it ought-ta be oh don't you know now mama said that's the way it's going to stay yeah;;;;;;;;;;;;
houses of the holy, led zeppelin, let me take you to the movies can i take you to the show? let me be yours ever truly can i make your garden grow?  from the houses of the holy we can watch the white doves go from the door comes satan's daughter and it only goes to show  you know  there's an angel on my shoulder in my hand a sword of gold let me wander in your garden and the seeds of love i'll sow  you know  so the world is spinning faster are you dizzy when you're stoned? let the music be your master will you heed the master's call oh satan and man  said there ain't no use in crying cause it will only only drive you mad does it hurt to hear them lying? was this the only world you had? oh oh  so let me take you take you to the movie can i take you baby to the show? why don't you let me be yours ever truly can i make your garden grow?  you know;;;;;;;;;;;;
bron-y-aur stomp, led zeppelin, ah caught you smiling at me that's the way it should be like a leaf is to a tree so fine ah all the good times we had i sang love songs so glad always smiling never sad so fine  as we walk down the country lanes i'll be singing a song hear me calling your name hear the wind within the trees telling mother nature 'bout you and me  well if the sun shines so bright or on our way it's darkest night the road we choose is always right so fine ah can your love be so strong when so many loves go wrong will our love go on and on and on and on and on?  as we walk down the country lanes i'll be singing a song hear me calling your name hear the wind within the trees telling mother nature 'bout you and me  my my la la la come on now it ain't too far tell your friends all around the world ain't no companion like a blue eyed merle come on now well let me tell you what you're missing messin' 'round them brick walls   so of one thing i am sure it's a friendship so pure angels singing all around my door so fine yeah ain't but one thing to do spend my natural life with you you're the finest dog i knew so fine  when you're old and your eyes are dim there ain't no old shep gonna happen again we'll still go walking down country lanes i'll sing the same old song hear me call your name;;;;;;;;;;;;
i can't quit you baby, led zeppelin, ohhh i can't quit you baby so i'm gonna put you down for awhile i said i can't quit you baby i guess i'm gonna have to put you down for awhile said you messed up my happy home made me mistreat my only child  said you know i love you baby my love for you i could never hide oh you know i love you baby my love for you i could never hide oh when i feel you near me little girl i know you are my one desire   when you hear me moaning and groaning you know it hurts me deep down inside oh when you hear me moaning and groaning baby you know it hurts me deep down inside oh when you hear me holler baby you know you're my one desire yes you are;;;;;;;;;;;;
in the light, led zeppelin, and if you feel that you can't go on and your will's sinking low just believe and you can't go wrong in the light you will find the road you will find the road  hey ooh did you ever believe that i could leave you standing out in the cold yeah baby i know how it feels cause i have slipped through to the very depths of my soul oh-ho baby i just want to show you what a clear view it is from every bend in the road now listen to me oh whoa-whoa as i was and really would be for you too honey as you would for me oh i would share your load let me share your load ooh let me share share your load   and if you feel that you can't go on in the light you will find the road the the winds of change may blow around you but that will always be so when love is pain it can devour you but you are never alone i will share your load i will share your load baby let me oh let me  in the light everybody needs the light ooh baby in the light in the light in the light  light light light in the light light light light in the light ooh yeah light light light in the light...;;;;;;;;;;;;
gallows pole, led zeppelin, hangman hangman hold it a little while i think i see my friends coming riding many a mile friends you get some silver? did you get a little gold? what did you bring me my dear friends to keep me from the gallows pole? what did you bring me to keep me from the gallows pole? i couldn't get no silver i couldn't get no gold you know that we're too damn poor to keep you from the gallows pole  hangman hangman hold it a little while i think i see my brother coming riding many a mile brother you get me some silver? did you get a little gold? what did you bring me my brother to keep me from the gallows pole? brother i brought you some silver yeah i brought a little gold i brought a little of everything to keep you from the gallows pole yes i brought you to keep you from the gallows pole  hangman hangman turn your head awhile i think i see my sister coming riding many mile mile mile sister i implore you take him by the hand take him to some shady bower save me from the wrath of this man please take him save me from the wrath of this mad man hangman hangman upon your face a smile tell me that i'm free to ride ride for many mile mile mile  oh yes you got a fine sister she warmed my blood from cold she warmed my blood to boiling hot to keep you from the gallows pole your brother brought me silver your sister warmed my soul but now i laugh and pull so hard see you swinging from the gallows pole but now i laugh and pull so hard see you swinging from the gallows pole swingin' on the gallows pole! swingin' on the gallows pole! swingin' on the gallows pole! swingin' on the gallows pole pole pole pole pole pole pole yeah  ah-ha-ha swingin' swingin' on the gallows pole! i gotta swing! see-saw marjory daw i gotta swing! see-saw knock at my door i gotta sing keep on singing;;;;;;;;;;;;
moby dick, led zeppelin, (instrumental);;;;;;;;;;;;
trampled under foot, led zeppelin, greasy slicked down groovy leather trim i like the way you hold the road mama it ain't no sin  talking 'bout love talking 'bout love talking 'bout  trouble-free transmission helps your oils flow mama let me pump your gas mama let me do it all  talking 'bout love talking 'bout love talking 'bout  check that heavy metal underneath your hood baby i can work all night believe i got the perfect tools  talking 'bout love talking 'bout love talking 'bout  automobile with comfort really built with style specialist tradition mama let me feast my eyes  talking 'bout love talking 'bout love talking 'bout  factory air-conditioned heat begins to rise guaranteed to run for hours mama you're the perfect size  talking 'bout love talking 'bout love talking 'bout  grooving on the freeway gauges all are red gun down on my gasoline believe i'm gonna crack your head  talking 'bout love talking 'bout love talking 'bout...  i can't stop talking about i can't stop talking about ooh yeah yes drive on ooh yeah yeah yeah yeah yes i'm coming through  come to me for service every hundred miles baby let me check your points fix your overdrive  talking 'bout love talking 'bout love talking 'bout  fully automatic comes in any size makes me wonder what i did before we synchronized  talking 'bout love talking 'bout love talking 'bout  feather-light suspension konis couldn't hold i'm so glad i took a look inside your showroom doors  talking 'bout love talking 'bout love talking 'bout oh i can't oh i can't  oh i can't stop talking about love i can't stop talking about love oh let me go on down go on down go on down go on down go on down yes i can't stop talking about i can't stop talking about love i can't stop talking about love or my baby i can't stop talking about love my baby my baby my baby my baby push push push it push push;;;;;;;;;;;;
the song remains the same, led zeppelin, i had a dream oh yeah crazy dream oh ho anything i wanted to know any place i needed to go hear my song yeah people won't you listen now? sing along! you don't know what you're missing now any little song that you know everything that's small has to grow and it's gonna grow now push push yeah   california sunlight sweet calcutta rain honolulu starbright the song remains the same ooh yeah   all you gotta do now all you gotta do now sing out hare hare dance the hoochie koo city lights are oh so bright as we go sliding sliding sliding sliding sliding sliding through;;;;;;;;;;;;
let it be, the beatles, when i find myself in times of trouble mother mary comes to me speaking words of wisdom “let it be” and in my hour of darkness she is standing right in front of me speaking words of wisdom “let it be”  let it be let it be let it be let it be whisper words of wisdom let it be  and when the brokenhearted people living in the world agree there will be an answer let it be for though they may be parted there is still a chance that they will see there will be an answer let it be  let it be let it be let it be let it be yeah there will be an answer let it be let it be let it be let it be let it be whisper words of wisdom let it be   let it be let it be let it be yeah let it be whisper words of wisdom let it be  and when the night is cloudy there is still a light that shines on me shine on 'til tomorrow let it be i wake up to the sound of music mother mary comes to me speaking words of wisdom let it be  let it be let it be let it be yeah let it be there will be an answer let it be let it be let it be let it be yeah let it be whisper words of wisdom let it be;;;;;;;;;;;;
come together, the beatles, shoot me shoot me shoot me shoot me  here come old flat-top he come groovin' up slowly he got ju-ju eyeball he one holy roller he got hair down to his knee got to be a joker he just do what he please  shoot me shoot me shoot me shoot me  he wear no shoeshine he got toe-jam football he got monkey finger he shoot coca-cola he say i know you you know me one thing i can tell you is you got to be free  come together right now over me  shoot me shoot me shoot me shoot me  he bag production he got walrus gumboot he got ono sideboard he one spinal cracker he got feet down below his knee hold you in his armchair you can feel his disease  come together right now over me  shoot me shoot me right!   come come come come  he roller-coaster he got early warnin' he got muddy water he one mojo filter he say one and one and one is three. got to be good-lookin' 'cause he's so hard to see  come together right now over me  shoot me shoot me shoot me shoot me ugh!  come together yeah come together yeah come together yeah come together yeah come together yeah come together yeah come together yeah uh... come together yeah come together yeah come together...;;;;;;;;;;;;
