song,artist,lyrics
powderfinger, neil young, look out mama there's a white boat coming up the river with a big red beacon and a flag and a man on the rail i think you'd better call john because it don't look like they're here to deliver the mail and it's less than a mile away i hope they didn't come to stay it's got numbers on the side and a gun and it's making big waves  daddy's gone my brother's out hunting in the mountains big john's been drinking since the river took emmy-lou so the powers that be left me here to do the thinkin' and i just turned twenty-two i was wondering what to do and the closer they got the more those feelings grew  daddy's rifle in my hand felt reassuring he said red means run son numbers add up to nothing but when the first shot hit the docks i saw it coming raised my rifle to my eye never stopped to wonder why then i saw black and my face splashed in the sky  shelter me from the powder and the finger cover me with the thought that pulled the trigger think of me as one you'd never figured would fade away so young with so much left undone remember me to my love i know i'll miss her
only love can break your heart, neil young, when you were young and on your own how did it feel to be alone? i was always thinking of games that i was playing trying to make the best of my time  but only love can break your heart try to be sure right from the start yes only love can break your heart what if your world should fall apart?  i have a friend i've never seen he hides his head inside a dream someone should call him and see if he can come out try to lose the down that he's found   i have a friend i've never seen he hides his head inside a dream yes only love can break your heart yes only love can break your heart
cortez the killer, neil young, he came dancing across the water with his galleons and guns looking for the new world in that palace in the sun on the shore lay montezuma with his coca leaves and pearls in his halls he often wondered with the secrets of the worlds and his subjects gathered around him like the leaves around a tree in their clothes of many colors for the angry gods to see and the women all were beautiful and the men stood straight and strong they offered life in sacrifice so that others could go on hate was just a legend and war was never known the people worked together and they lifted many stones they carried them to the flat lands and they died along the way but they built up with their bare hands what we still can't do today and i know she's living there and she loves me to this day i still can't remember when or how i lost my way  he came dancing across the water cortez cortez what a killer
don't let it bring you down, neil young, old man lying by the side of the road with the lorries rolling by blue moon sinking from the weight of the load and the buildings scrape the sky cold wind ripping down the alley at dawn and the morning paper flies dead man lying by the side of the road with the daylight in his eyes  don't let it bring you down it's only castles burning find someone who's turning and you will come around  blind man running through the light of the night with an answer in his hand come on down to the river of sight and you can really understand red lights flashing through the window in the rain can you hear the sirens moan? white cane lying in a gutter in the lane if you're walking home alone  don't let it bring you down it's only castles burning find someone who's turning and you will come around  don't let it bring you down it's only castles burning find someone who's turning and you will come around
out on the weekend, neil young, think i'll pack it in and buy a pick-up take it down to l.a. find a place to call my own and try to fix up start a brand new day  the woman i'm thinking of she loved me all up but i'm so down today she's so fine she's in my mind i hear her calling  see the lonely boy out on the weekend trying to make it pay can't relate to joy he tries to speak and can't begin to say   she got pictures on the wall they make me look up from her big brass bed now i'm running down the road trying to stay up somewhere in her head  the woman i'm thinking of she loved me all up but i'm so down today she's so fine she's in my mind i hear her calling  see the lonely boy out on the weekend trying to make it pay can't relate to joy he tries to speak and can't begin to say oh
cinnamon girl, neil young, i wanna live with a cinnamon girl i could be happy the rest of my life with a cinnamon girl a dreamer of pictures i run in the night you see us together chasing the moonlight my cinnamon girl ten silver saxes a bass with a bow the drummer relaxes and waits between shows for his cinnamon girl a dreamer of pictures i run in the night you see us together chasing the moonlight my cinnamon girl pa sent me money now i'm going to make it somehow i need another chance you see your baby loves to dance yeah yeah yeah
tell me why, neil young, sailin' hardships through broken harbors out on the waves in the night still the searcher must ride the dark horse racing alone in his fright  tell me why tell me why  is it hard to make arrangements with yourself when you're old enough to repay but young enough to sell?  tell me lies later come and see me i'll be around for a while i am lonely but you can free me all in the way that you smile  tell me why tell me why  is it hard to make arrangements with yourself when you're old enough to repay but young enough to sell?  tell me why tell me why  is it hard to make arrangements with yourself when you're old enough to repay but young enough to sell?
sugar mountain, neil young, oh to live on sugar mountain with the barkers and the colored balloons you can't be 20 on sugar mountain though you're thinking that you're leavin' there too soon you're leavin' there too soon  it's so noisy at the fair but all your friends are there and the candy floss you had and your mother and your dad  oh to live on sugar mountain with the barkers and the colored balloons you can't be 20 on sugar mountain though you're thinking that you're leavin' there too soon you're leavin' there too soon  there's a girl just down the aisle oh to turn and see her smile you can hear the words she wrote as you read the hidden note  oh to live on sugar mountain with the barkers and the colored balloons you can't be 20 on sugar mountain though you're thinking that you're leavin' there too soon you're leavin' there too soon  now you're underneath the stairs and you're giving back some glares to the people who you met and it's your first cigarette  oh to live on sugar mountain with the barkers and the colored balloons you can't be 20 on sugar mountain though you're thinking that you're leavin' there too soon you're leavin' there too soon  now you say you're leaving home because you want to be alone ain't it funny how you feel when you're findin' out it's real?  oh to live on sugar mountain with the barkers and the colored balloons you can't be 20 on sugar mountain though you're thinking that you're leavin' there too soon you're leavin' there too soon oh to live on sugar mountain with the barkers and the colored balloons you can't be 20 on sugar mountain though you're thinking that you're leavin' there too soon
unknown legend, neil young, she used to work in a diner never saw a woman look finer i used to order just to watch her float across the floor she grew up in a small town never put her roots down daddy always kept moving so she did too  somewhere on a desert highway she rides a harley-davidson her long blonde hair flying in the wind she's been running half her life the chrome and steel she rides colliding with the very air she breathes the air she breathes  you know it ain't easy you got to hold on she was an unknown legend in her time now she's dressing two kids looking for a magic kiss she gets the faraway look in her eyes  somewhere on a desert highway she rides a harley-davidson her long blonde hair flying in the wind she's been running half her life the chrome and steel she rides colliding with the very air she breathes the air she breathes   somewhere on a desert highway she rides a harley-davidson her long blonde hair flying in the wind she's been running half her life the chrome and steel she rides colliding with the very air she breathes the air she breathes
harvest, neil young, did i see you down in a young girl's town with your mother in so much pain? i was almost there at the top of the stairs with her screamin' in the rain  did she wake you up to tell you that it was only a change of plan? dream up dream up let me fill your cup with the promise of a man  did i see you walking with the boys? though it was not hand in hand and was some black face in a lonely place when you could understand?  did she wake you up to tell you that it was only a change of plan? dream up dream up let me fill your cup with the promise of a man  will i see you give more than i can take? will i only harvest some? as the days fly past will we lose our grasp? or fuse it in the sun?  did she wake you up to tell you that it was only a change of plan? dream up dream up let me fill your cup with the promise of a man dream up dream up let me fill your cup with the promise of a man
cowgirl in the sand, neil young, hello cowgirl in the sand is this place at your command? can i stay here for a while? can i see your sweet sweet smile?  old enough now to change your name when so many love you is it the same? it's the woman in you that makes you want to play this game  hello ruby in the dust has your band begun to rust? after all the sin we've had i was hoping that we'd turn bad  old enough now to change your name when so many love you is it the same? it's the woman in you that makes you want to play this game  hello woman of my dreams this is not the way it seems purple words on a grey background to be a woman and to be turned down  old enough now to change your name when so many love you is it the same? it's the woman in you that makes you want to play this game
long may you run, neil young, we've been through some things together with trunks of memories still to come we found things to do in stormy weather long may you run  long may you run long may you run although these changes have come with your chrome heart shining in the sun long may you run  well it was back in blind river in 1962 when i last saw you alive but we missed that shift on the long decline long may you run   maybe the beach boys have got you now with those waves singing caroline no rolling down that empty ocean road getting to the surf on time
like a hurricane, neil young, once i thought i saw you in a crowded hazy bar dancing on the light from star to star far across the moonbeam i know that's who you are i saw your brown eyes turning once to fire  you are like a hurricane there's calm in your eye and i'm getting blown away to somewhere safer where the feeling stays i want to love you but i'm getting blown away  i am just a dreamer but you are just a dream you could have been anyone to me before that moment you touched my lips that perfect feeling when time just slips away between us on our foggy trip  you are like a hurricane there's calm in your eye and i'm getting blown away to somewhere safer where the feeling stays i want to love you but i'm getting blown away   you are just a dreamer and i am just a dream you could have been anyone to me before that moment you touched my lips that perfect feeling when time just slips away between us on our foggy trip  you are like a hurricane there's calm in your eye and i'm getting blown away to somewhere safer where the feeling stays i want to love you but i'm getting blown away
on the beach, neil young, the world is turnin' i hope it don't turn away the world is turnin' i hope it don't turn away all my pictures are fallin' from the wall where i placed them yesterday the world is turnin' i hope it don't turn away  i need a crowd of people but i can't face them day-to-day i need a crowd of people but i can't face 'em day-to-day though my problems are meaningless that don't make them go away i need a crowd of people but i can't face them day-to-day  i went to the radio interview but i ended up alone at the microphone i went to the radio interview but i ended up alone at the microphone now i'm livin' out here on the beach but those seagulls are still out of reach went to the radio interview but i ended up alone at the microphone  get out of town think i'll get out of town get out of town think i'll get out of town i head for the sticks with my bus and friends i follow the road though i don't know where it ends get out of town get out of town think i'll get out of town  because the world is turnin' i don't wanna see it turn away
razor love, neil young, i got to bet that your old man became fascinated with his own plan turned you loose your mama too there wasn't a thing that you could do but i got faith in you it's a razor love that cuts clean through i got faith in you it's a razor love that cuts clean through  you really made my day with the little things you say  looking through the window at a silhouette trying to find something i can't find yet imagination is my best friend got to look out for the greedy hand greedy hand make a living like a rolling stone on the road there's no place like home silhouettes on the window  who was it made your eyes flicker like that tell me baby how'd you get the knack you came to me with open arms and i really took you down the track now all i've got for you is the kind of love that cuts clean through all i got for you is razor love it cuts clean through
a man needs a maid, neil young, my life is changing in so many ways i don't know who to trust anymore there's a shadow running through my days like a beggar goin' from door to door i was thinkin' that maybe i'd get a maid find a place nearby for her to stay just someone to keep my house clean fix my meals and go away  a maid a man needs a maid a maid  it's hard to make that change when life and love turns strange and cold  to give a love you gotta live a love to live a love you gotta be part of when will i see you again?  a while ago somewhere i don't know when i was watchin' a movie with a friend i fell in love with the actress she was playin' a part that i could understand  a maid a man needs a maid a maid a man needs a maid  when will i see you again?
ambulance blues, neil young, back in the old folky days the air was magic when we played the riverboat was rocking in the rain midnight was the time for the raid oh isabela proud isabela they tore you down and plowed you under you're only real with your make-up on how could i see you and stay too long? all along the navajo trail burn-outs stub their toes on garbage pails waitresses are crying in the rain will their boyfriends pass this way again? oh mother goose she's on the skids shoe ain't happy neither are the kids she needs someone that she can scream at and i'm such a heel for making her feel so bad i guess i'll call it sickness gone it's hard to say the meaning of this song an ambulance can only go so fast it's easy to get buried in the past when you try to make a good thing last i saw today in the entertainment section there's room at the top for private detection to mom and dad this just doesn't matter but it's either that or pay off the kidnapper so all you critics sit alone you're no better than me for what you've shown with your stomach pump and your hook and ladder dreams we could get together for some scenes  i never knew a man could tell so many lies he had a different story for every set of eyes how can he remember who he's talking to? because i know it ain't me and i hope it isn't you  well i'm up in t.o. keeping jive alive and out on the corner it's half past five but the subways are empty and so are the cafes except for the farmer's market and i still can hear him say: you're all just pissing in the wind you don't know it but you are and there ain't nothing like a friend who can tell you you're just pissing in the wind
four strong winds, neil young, think i'll go out to alberta weather's good there in the fall i got some friends that i could go to working for still i wish you'd change your mind if i ask you one more time but we've been through this a hundred times or more four strong winds that blow lonely seven seas that run high all those things that don't change come what may if the good times are all gone then i'm bound for moving on i'll look for you if i'm ever back this way if i get there before the snow flies and if things are looking good you could meet me if i send you down the fare but by then it would be winter not too much for you to do and those winds sure can blow cold way out there four strong winds that blow lonely seven seas that run high all those things that don't change come what may the good times are all gone so i'm bound for moving on i'll look for you if i'm ever back this way still i wish you'd change your mind if i ask you one more time but we've been through that a hundred times or more four strong winds that blow lonely seven seas that run high all those things that don't change come what may if the good times are all gone then i'm bound for moving on i'll look for you if i'm ever back this way i'll look for you if i'm ever back this way
pocahontas, neil young, aurora borealis the icy sky at night paddles cut the water in a long and hurried flight from the white man to the fields of green and the homeland we've never seen  they killed us in our teepee and they cut our women down they might have left some babies crying on the ground but the fire sticks and the wagons come and the night falls on the setting sun  they massacred the buffalo kitty corner from the bank the taxis run across my feet and my eyes have turned to blanks in my little box at the top of the stairs with my indian rug and a pipe to share  i wish a was a trapper i would give thousand pelts to sleep with pocahontas and find out how she felt in the morning on the fields of green in the homeland we've never seen  and maybe marlon brando will be there by the fire we'll sit and talk of hollywood and the good things there for hire and the astrodome and the first teepee marlon brando pocahontas and me marlon brando pocahontas and me pocahontas
tonight's the night, neil young, tonight's the night   bruce berry was a working man he used to load that econoline van a sparkle was in his eye but his life was in his hands well late at night when the people were gone he used to pick up my guitar and sing a song in a shaky voice that was real as the day was long  tonight's the night yes it is tonight's the night   early in the morning at the break of day he used to sleep until the afternoon if you never heard him sing i guess you won't too soon because people let me tell you it sent a chill up and down my spine when i picked up the telephone and heard that he'd died out on the mainline  tonight's the night   bruce berry was a working man he used to load that econoline van well early in the morning at just about the break of day he used to sleep until the afternoon  tonight's the night yes it is tonight's the night 
philadelphia, neil young, sometimes i think that i know what love's all about and when i see the light i know i'll be all right  i've got my friends in the world i had my friends when we were boys and girls and the secrets came unfurled city of brotherly love place i call home don't turn your back on me i don't want to be alone love lasts forever someone is talking to me calling my name tell me i'm not to blame i won't be ashamed of love philadelphia city of brotherly love brotherly love
natural beauty, neil young, on the roller coaster ride that my emotions have to take me on i heard a newborn baby cry through the night  i heard a perfect echo die into an anonymous wall of digital sound somewhere deep inside of my soul  a natural beauty should be preserved like a monument to nature don't judge yourself too harsh my love or someday you might find your soul endangered a natural beauty should be preserved like a monument to nature  amazon you had so much and now so much is gone what are you going to do with your life? what a lucky man to see the earth before it touched his hand what an angry fool to condemn one more night to go one more sleep upon your burning banks a greedy man never knows what he's done   went to the rodeo today i saw the cowgirls lined up on the fence a brand new chevrolet a brand new pair of seamless pants we watched the moment of defeat played back over on the video screen somewhere deep inside of my soul  a natural beauty should be preserved like a monument to nature
revolution blues, neil young, well we live in a trailer at the edge of town you never see us because we don't come around we got twenty five rifles just to keep the population down but we need you now and that's why i'm hanging around so you be good to me and i'll be good to you and in this land of conditions i'm not above suspicion i won't attack you but i won't back you well it's so good to be here asleep on your lawn remember your guard dog? well i'm afraid that he's gone it was such a drag to hear him whining all night long yes that was me with the doves setting them free near the factory where you built your computer love i hope you get the connection because i can't take the rejection i won't deceive you i just don't believe you well i'm a barrel of laughs with my carbine on i keep 'em hopping until my ammunition's gone but i'm still not happy i feel like there's something wrong i got the revolution blues i see bloody fountains and ten million dune buggies coming down the mountains well i hear that laurel canyon is full of famous stars but i hate them worse than lepers and i'll kill them in their cars
journey through the past, neil young, song without a home  when the winter rains come pourin' down on that new home of mine will you think of me and wonder if i'm fine? will your restless heart come back to mine on a journey through the past? will i still be in your eyes and on your mind?  now i'm going back to canada on a journey through the past and i won't be back 'til february comes i will stay with you if you'll stay with me said the fiddler to the drum and we'll keep good time on a journey through the past  when the winter rains come pourin' down on that new home of mine will i still be in your eyes and on your mind? will i still be in your eyes and on your mind?
words (between the lines of age), neil young, someone and someone were down by the pond looking for something to plant in the lawn out in the fields they were turning the soil i'm sitting here hoping this water will boil when i look through the windows and out on the road they're bringing me presents and saying hello  singing words words between the lines of age words words between the lines of age   if i was a junkman selling you cars washing your windows and shining your stars thinking your mind was my own in a dream what would you wonder? and how would it seem? living in castles a bit at a time the king started laughing and talking in rhyme  singing words words between the lines of age words words between the lines of age
one of these days, neil young, one of these days i'm going to sit down and write a long letter to all the good friends i've known and i'm going to try and thank them all for the good times together though so apart we've grown one of these days i'm going to sit down and write a long letter to all the good friends i've known one of these days one of these days one of these days and it won't be long it won't be long and i'm going to thank that old country fiddler and all those rough boys who play that rock 'n' roll i never tried to burn any bridges though i know i let some good things go one of these days i'm going to sit down and write a long letter to all the good friends i've known one of these days one of these days one of these days and it won't be long it won't be long from down in l.a all the way to nashville from new york city to my canadian prairie home my friends are scattered like leaves from an old maple some are weak some are strong one of these days i'm going to sit down and write a long letter to all the good friends i've known one of these days one of these days one of these days and it won't be long it won't be long one of these days one of these days one of these days and it won't be long it won't be long
the loner, neil young, he's a perfect stranger like a cross of himself and a fox he's a feeling arranger and a changer of the ways he talks he's the unforeseen danger the keeper of the key to the locks  know when you see him nothing can free him step aside open wide it's the loner  if you see him in the subway he'll be down at the end of the car watching you move until he knows he knows who you are when you get off at your station alone he'll know that you are   there was a woman he knew about a year or so ago she had something that he needed and he pleaded with her not to go on the day that she left he died but it did not show
comes a time, neil young, comes a time when you're drifting comes a time when you settle down comes a light feelings lifting lift that baby right up off the ground  oh this old world keeps spinning round it's a wonder tall trees ain't layin' down there comes a time  you and i we were captured we took our souls and we flew away we were right we were giving that's how we kept what we gave away
