WPL,Unique WPL,Token ration,Mean word length,Total,genre
0.25,0.3,0.445,0.461125934710281,0.08947612424663885,4
0.4166666666666667,0.4,0.3233333333333333,0.3117274800247426,0.1358368103847937,4
0.6666666666666666,0.7,0.4247104247104247,0.3421150174781957,0.1168289290681502,1
0.25,0.3,0.7529411764705882,0.5065162475043711,0.03616133518776078,4
0.4166666666666667,0.3,0.3367088607594937,0.2007947895431148,0.1798794622160408,3
0.4166666666666667,0.4,0.29261363636363635,0.3451128540070135,0.3231339823829393,2
0.4166666666666667,0.5,0.4297994269340974,0.4911662644017252,0.32035234121464995,3
0.3333333333333333,0.4,0.40522875816993453,0.26914574945942843,0.06768660176170607,4
0.3333333333333333,0.4,0.453551912568306,0.3985841107697573,0.1664348632359759,1
0.6666666666666666,0.7,0.2994350282485876,0.3929137798800674,0.16087158089939732,1
0.3333333333333333,0.3,0.4739884393063584,0.1877110046198471,0.07695873898933704,1
0.3333333333333333,0.3,0.23582089552238805,0.31885373344104,0.1520630505331479,2
0.5833333333333334,0.4,0.14601769911504425,0.554273370101301,0.20630505331478907,2
0.3333333333333333,0.4,0.34134615384615385,0.3733350902043461,0.09318497913769123,4
0.4166666666666667,0.4,0.23356401384083045,0.3229724676959332,0.26471951784886416,2
0.3333333333333333,0.4,0.7983870967741935,0.4515866918437618,0.054242002781641166,1
0.5,0.6,0.4869565217391305,0.31105783208800786,0.05006954102920723,1
0.5,0.4,0.2546916890080429,0.2612274081415959,0.16968011126564672,1
0.25,0.3,0.2507552870090635,0.4424342602320734,0.1502086230876217,1
0.25,0.3,0.3607305936073059,0.37860971436355867,0.09828465461288828,2
0.3333333333333333,0.4,0.4759036144578313,0.3983863774761727,0.0737134909596662,1
0.4166666666666667,0.4,0.484641638225256,0.3725465968999995,0.13259156235512284,4
0.25,0.3,0.42557651991614254,0.5830528198251659,0.21789522484932775,2
0.3333333333333333,0.4,0.2716049382716049,0.34053474219205715,0.14696337505795085,2
0.25,0.3,0.452755905511811,0.3442291326391791,0.11451089476124245,4
0.3333333333333333,0.4,0.32,0.3271293825696434,0.15901715345387113,4
0.4166666666666667,0.5,0.3598901098901099,0.37079631505958216,0.3342605470560964,3
0.5,0.5,0.28668941979522183,0.4151252353347085,0.13259156235512284,4
0.5833333333333334,0.7,0.40069686411149824,0.4288785366641801,0.12980992118683354,1
