huntin' fishin' & lovin' every day, luke bryan, woah woah wo-wooah mmmif i could make a living from walking in the woods you can bet i'd be sitting pretty good high on a hill looking at a field downwind if i could make a nickel off a turning 'em bass never worry about the price of gas i'd be wheeling and dealing and sittin' there reeling 'em inhuntin' fishin' and lovin' every day that's the prayer that a country boy prays thank god he made me this way huntin' fishin' and lovin' every day early in the morning late in the evening i'm getting red dirt rich and flint river paid huntin' and fishin' and lovin' every dayi'd get a little farm pond bus sound of gravel when i'm backin' up pulling the string on a nine point nine two stroke mercury i love it when my baby wants to roll with me throws her boots on climbs in a tree tuckin' her hair in my hat and she's ready to gowe get to huntin' fishin' and lovin' every day that's the prayer that a country boy prays thank god he made me this way huntin' fishin' and lovin' every day early in the morning late in the evening i'm getting red dirt rich flint river pay huntin' and fishin' and lovin' every dayso while y'all are up there breathin' in that old dirty air i'll be down here knee deep in the muckalee huntin' fishin' and lovin' every day i wanna see them tall pines sway y'all close them eyes lets go there in our mindhuntin' fishin' and lovin' every day that's the prayer this country boy prays thank god he made me this way huntin' fishin' and lovin' every day black coffee in the morning dark whiskey in the evening i get red dirt rich and flint river pay huntin' and fishin' and lovin' every day come onwon't you come along with me won't you come along with me i know you wanna see huntin' and fishin' and lovin' every day yeah,country
what makes you country, luke bryan, people talkin' ’bout what is and what ain’t country what gives ’em the right to wear a pair of beat-up boots is it the size of your tires and your fires or your wild ass buddies well give me a minute let me hit you with some hometown truthyou could be a cowboy on the texas plain or a plowboy waitin’ on the rain we’re all a little different but we’re all the same everybody doin' their own thingi got my dirt road cred when i was twelve on a no cab tractor hauling them bales backing in boats fishing limb lines running bird dogs through the georgia pines step side cover down in peanut dust friday night spotlight and that was us it might not have been you but i can't judge just be proud of what makes you countrydoes it run in your blood did it come from your daddy and mama were you converted by an alabama song on the radio that feels so right did you lock eyes with a little green-eyed girl from jackson tell me what got ya i just gotta knowme i got my sunday learning in a live oak church silver queen corn in a backyard dirt waiting for the fall to finally come along so i can grab my gun and get my outside on step side cover down in peanut dust friday night spotlight and that was us it might not have been you but i can't judge just be proud of what makes you countrymight be from a city or a little farm town whatever kind of square that you drove around do you wear it on your sleeve or keep it deep down you know you gotta let it outi got my dirt road cred back when i was twelve on a no cab tractor hauling them bales backing in boats fishing limb lines running bird dogs through them georgia pines step side cover down in peanut dust friday night spotlight and that was us it might not have been you but i ain't judging and just be proud of what makes you country whatever makes you countryyou do your kind of country they doing they kind of country i do my kind of country whatever makes us country,country
drink a beer, luke bryan, when i got the news today i didn't know what to say so i just hung up the phone i took a walk to clear my head this is where the walking lead can't believe you're really gone don't feel like going homeso i'm gonna sit right here on the edge of this pier watch the sunset disappear and drink a beerfunny how the good ones go too soon but the good lord knows the reasons why i guess sometimes the greater plan is kinda hard to understand right now it don't make sense i can't make it all make senseso i'm gonna sit right here on the edge of this pier watch the sunset disappear and drink a beerso long my friend 'till we meet again i'll remember you and all the times that we used tosit right here on the edge of this pier watch the sunset disappear and drink a beer drink a beer yeah,country
country girl (shake it for me), luke bryan, hey girl go on now you know you've got everybody lookinggot a little boom in my big truck gonna open up the doors and turn it up gonna stomp my boots in the georgia mud gonna watch you make me fall in love get up on the hood of my daddy's tractor up on the toolbox it don't matter down on the tailgate girl i can't wait to watch you do your thingshake it for the young bucks sittin' in the honky-tonks for the rednecks rockin' 'til the break of dawn for the dj spinnin' that country song come on come on come on shake it for the birds shake it for the bees shake it for the catfish swimming down deep in the creek for the crickets and the critters and the squirrels shake it to the moon shake it for me girl awwcountry girl shake it for me girl shake it for me girl shake it for me country girl shake it for me girl shake it for me girl shake it for mesomebody's sweet little farmer's child with a gattle in her bud to get a little wild pony tail and a pretty smile rope me in from a country mile so come on over here and get in my arms spin me around this big ole barn tangle me up like grandma's yarn yeah yeah yeahshake it for the young bucks sittin' in the honky-tonks for the rednecks rockin' 'til the break of dawn for the dj spinnin' that country song come on come on come on shake it for the birds shake it for the bees shake it for the catfish swimming down deep in the creek for the crickets and the critters and the squirrels shake it to the moon shake it for me girl awwcountry girl shake it for me girl shake it for me girl shake it for me country girl shake it for me girl shake it for me girl shake it for me now dance like a dandelion in the wind on the hill underneath the pines yea move like the river flows feel the kick drum down deep in your toes all i wanna do is get to holdin' you and get to knowin' you and get to showin' you and get to lovin' you 'fore the night is through baby you know what to doshake it for the young bucks sittin' in the honky-tonks for the rednecks rockin' 'til the break of dawn for the dj spinnin' that country song come on come on come on shake it for the birds shake it for the bees shake it for the catfish swimming down deep in the creek for the crickets and the critters and the squirrels shake it to the moon shake it for me girl awwcountry girl shake it for me girl shake it for me girl shake it for me country girl shake it for me girl shake it for me girl shake it for me country girl shake it for me girl shake it for me girl shake it for me country girl shake it for me girl shake it for me girl shake it for me,country
crash my party, luke bryan, it don’t matter what plans i got i can break ‘em yeah i can turn this thing around at the next red light and i don’t mind telling all the guys “i can’t meet ‘em” hell we can all go raise some hell any other night girl i don’t care oh i just gotta see what you’re wearing your hair is it pulled up or falling down oh i just have to see it nowif you wanna call me call me call me you don’t have to worry ‘bout it baby you can wake me up in the dead of the night wreck my plans baby that’s alright this is a drop everything kind of thing swing on by i will pour you a drink the door’s unlocked i’ll leave on the lights baby you can crash my party anytimeain’t a spot downtown that’s rockin’ the way that you rock me ain’t a bar that can make me buzz the way that you do i could be on the front row of the best show and look down and see your face on my phone and i’m gone so long hang on i’ll meet you in a minute or twoif you wanna call me call me call me you don’t have to worry ‘bout it baby you can wake me up in the dead of the night wreck my plans baby that’s alright this is a drop everything kind of thing swing on by i will pour you a drink the door’s unlocked i’ll leave on the lights baby you can crash my party anytimeif it’s two in the morning and you’re feeling lonely and wondering what i’m doingif you wanna call me call me call me you don’t have to worry ‘bout it baby you can wake me up in the dead of the night wreck my plans baby that’s alright this is a drop everything kind of thing swing on by i will pour you a drink the door’s unlocked i’ll leave on the lights baby you can crash my party anytime baby you can crash my party anytime,country
sunrise sunburn sunset, luke bryan, your daddy had a lakehouse he had me paint it that summer sophomore year said i could stay for free a couple buddies a couple weeks you rode in in a little red honda and headed straight for the pier tank top and cutoff jeans a little pacsun underneath who knew it was 'bout to besunrise sunburn sunset repeat moonlight all night crashing into me nothing will ever be easy as you and me tangled up with nowhere to be just sunrise sunburn sunset repeat sunrise sunburn sunset repeat ayyi turned those shutters the color of your eyes 'til the day turned into night and took turns with a jar turn that boat dock into a bar and then we passed the guitar around the fire to each other and watched all of our friends pair off with one another but we felt like the stars we were under and everybody knew that that was our summersunrise sunburn sunset repeat moonlight all night crashing into me nothing will ever be easy as you and me tangled up with nowhere to be just sunrise sunburn sunset repeat yeahwhoa we set july on fire whoa yeah girl you and i were sunrise sunburn sunset repeatsunrise sunburn sunset repeat moonlight all night crashing into me nothing will ever be easy as you and me tangled up with nowhere to be just sunrise sunburn sunset repeat sunrise sunburn sunset repeat yeahwhoa we set july on fire whoa yeah girl you and i were sunrise sunburn sunset repeat sunrise sunburn sunset repeat,country
i don't want this night to end, luke bryan, girl i know i don’t know you but your pretty little eyes so blue are pulling me in like the moon on your skin i’m so glad you trusted me to slide up on this dusty seat and let your hair down get out of towngot the stars coming out over my hood and all i know now is it's going goodyou got your hands up you’re rocking in my truck you got the radio on you’re singing every song i’m set on cruise control i’m slowly losing hold of everything i got you’re looking so damn hotand i don’t know what road we’re on or where we’ve been from staring at you girl all i know is i don’t want this night to endgoing to cuss the morning when it comes 'cause i know that the rising sun ain’t no good for me 'cause you’ll have to leave going to make the most of every mile do anything to make your smile land on my lips get drunk on your kissclock on the dash says 3:35 there’s plenty of gas and the night’s still aliveyou got your hands up you’re rocking in my truck you got the radio on you’re singing every song i’m set on cruise control i’m slowly losing hold of everything i got you’re looking so damn hotand i don’t know what road we’re on or where we’ve been from staring at you girl all i know is i don’t want this night to end you got your hands up you’re rocking in my truck you got the radio on you’re singing every song i’m set on cruise control i’m slowly losing hold of everything i got you’re looking so damn hotand i don’t know what road we’re on or where we’ve been from staring at you girl all i know is i don’t want this night to end i don’t want this night to end no i don’t want this night to end,country
good directions, luke bryan, i was sitting there selling turnips on a flat-bed truck crunching on a pork rind when she pulled up she had to be thinking this is where rednecks come from she had hollywood written on her license plate she was lost and looking for the interstate needing directions and i was the man for the jobi told her way up yonder past the caution lights there's a little country store with an old coke sign you gotta stop and ask miss bell for some of her sweet tea then a left will take you to the interstate but a right will bring you right back here to mei was sitting there thinking about her pretty face kicking myself for not catching her name i threw my hat and thought you fool it could have been love i knew my old ford couldn't run her down she probably didn't like me anyhow so i watched her disappear into a cloud of dusti told her way up yonder past the caution lights there's a little country store with an old coke sign you gotta stop and ask miss bell for some of her sweet tea then a left will take you to the interstate but a right will bring you right back here to meis this georgia heat playing tricks on me or am i really seeing what i think i see the woman of my dreams coming back to me yeahshe went way up yonder past the caution light don't know why but something felt right when she stopped in and asked miss bell for some of her sweet tea momma gave her a big ole glass and sent her right back here to me thank god for good directions and turnip greens,country
do i, luke bryan, baby what are we becoming it feels just like we're always running rolling through the motions every day i could lean in to hold you or act like i don't even know you seems like you could care less either way what happened to that girl i used to know i just want us back to the way we were beforedo i turn you on at all when i kiss you baby does the sight of me wanting you drive you crazy do i have your love am i still enough tell me don't i or tell me do i babygive you everything that you ever wanted would you rather just turn away and leave me lonely do i just need to give up and get on with my life baby do iremember when we didn't have nothing but a perfect simple kind of loving baby those sure were the days there was a time our love ran wild and free but now i'm second guessing everything i seedo i turn you on at all when i kiss you baby does the sight of me wanting you drive you crazy do i have your love am i still enough tell me don't i or tell me do i babygive you everything that you ever wanted would you rather just turn away and leave me lonely do i just need to give up and get on with my lifebaby do i still give you what you need still take your breath away light up the spark way down deep baby do iwhoa do i turn you on at all when i kiss you baby does the sight of me wanting you drive you crazy do i have your love am i still enough tell me don't i or tell me do i babygive you everything that you ever wanted would you rather just turn away and leave me lonely do i just need to give up and get on with my life tell me baby do i get one more try do i baby do i,country
roller coaster, luke bryan, she had a cross around her neck and a flower in her hand that i picked from the side of thomas drive on our way to the sand we found an old wooden chair still warm from the sun pushed it back gave me a kiss with bacardi on her lips and i was doneand we spent that week wide open upside down beside the ocean i didn't know where it was goin' just tryin' to keep my heart on the tracks i should've known that kind of feelin' would last longer than that week did blown away and barely breathin' sunday came and it was over now she's got me twisted like an old beach roller coasterthe rest of those days turned into long crazy nights when the music got loud we'd sneak away from the crowd under the boardwalk lights and with all the things we said what i just can't get past is the way we let it end now i'm wonderin' where she is knowin' i can't get that goodbye backand we spent that week wide open upside down beside the ocean i didn't know where it was goin' just tryin' to keep my heart on the tracks i should've known that kind of feelin' would last longer than that week did blown away and barely breathin' sunday came and it was over now she's got me twisted like an old beach roller coastershe's like a song playin' over and over in my mind where i still hold her i had the chance and i should've told herwhen we spent that week wide open upside down beside the ocean i should've known where it was goin' still tryin' to keep my heart on the tracks and i should've known that kind of feelin' would last longer than that week did blown away and barely breathin' when sunday came and it was over now she's got me twisted yeah i'm still twisted like that old beach roller coaster like that old beach roller coaster,country
